id,GameTitle,ReleaseDate,thumb,Platform
6429,Mad Dog McCree,1/1/94,boxart/original/front/6429-1.jpg,3DO
3143,AD&D: Slayer,1/1/94,boxart/original/front/3143-1.jpg,3DO
4826,Blade Force,4/5/95,boxart/original/front/4826-1.png,3DO
4829,Battle Chess,1/1/93,boxart/original/front/4829-1.jpg,3DO
4830,Brain Dead 13,1/1/96,boxart/original/front/4830-1.jpg,3DO
4831,Burning Soldier,11/1/94,boxart/original/front/4831-1.png,3DO
4833,Corpse Killer,1/1/94,boxart/original/front/4833-1.jpg,3DO
4834,AD&D: DeathKeep,11/1/95,boxart/original/front/4834-1.jpg,3DO
4835,Dennis Miller: That's News to Me,1/1/94,boxart/original/front/4835-1.jpg,3DO
4836,Doom,1/1/96,boxart/original/front/4836-1.jpg,3DO
4838,FIFA International Soccer,1/1/94,boxart/original/front/4838-1.jpg,3DO
4839,Foes of Ali,1/1/95,boxart/original/front/4839-1.jpg,3DO
4841,GEX,11/16/94,boxart/original/front/4841-1.png,3DO
4842,Hell: A Cyberpunk Thriller,2/3/94,boxart/original/front/4842-1.png,3DO
4843,Icebreaker,1/1/95,boxart/original/front/4843-1.jpg,3DO
4844,Immercenary,1/1/95,boxart/original/front/4844-1.jpg,3DO
4846,Jammit,1/1/94,boxart/original/front/4846-1.png,3DO
4847,Killing Time,8/15/95,boxart/original/front/4847-2.jpg,3DO
4848,Mad Dog II: The Lost Gold,6/24/94,boxart/original/front/4848-1.jpg,3DO
4849,Myst,1/1/95,boxart/original/front/4849-1.jpg,3DO
4850,Novastorm,1/1/94,boxart/original/front/4850-1.jpg,3DO
4851,Pebble Beach Golf Links,1/1/94,boxart/original/front/4851-1.jpg,3DO
4852,Plumbers Don't Wear Ties,1/1/94,boxart/original/front/4852-1.png,3DO
4853,Primal Rage,1/1/95,boxart/original/front/4853-1.jpg,3DO
4854,Quarantine,1/1/94,boxart/original/front/4854-1.jpg,3DO
4855,Road Rash,1/1/94,boxart/original/front/4855-1.jpg,3DO
4857,Samurai Shodown,1/1/93,boxart/original/front/4857-1.jpg,3DO
4858,Sewer Shark,1/1/94,boxart/original/front/4858-1.jpg,3DO
4861,Shock Wave,6/27/94,boxart/original/front/4861-1.jpg,3DO
4862,Shock Wave 2: Beyond the Gate,1/1/95,boxart/original/front/4862-1.jpg,3DO
4864,Shock Wave: Operation JumpGate,1/1/95,boxart/original/front/4864-1.jpg,3DO
4866,Slam 'n Jam 95,1/1/95,boxart/original/front/4866-1.jpg,3DO
4868,Space Hulk: Vengeance of the Blood Angels,1/1/96,boxart/original/front/4868-1.jpg,3DO
4869,StarBlade,1/1/95,boxart/original/front/4869-1.jpg,3DO
4870,Star Control II,10/28/93,boxart/original/front/4870-1.png,3DO
4871,Star Wars: Rebel Assault,1/1/95,boxart/original/front/4871-1.jpg,3DO
4873,Stellar 7: Draxon's Revenge,4/2/93,boxart/original/front/4873-1.png,3DO
4875,Super Street Fighter II Turbo,5/18/94,boxart/original/front/4875-1.png,3DO
4876,Super Wing Commander,1/1/94,boxart/original/front/4876-1.jpg,3DO
4878,Syndicate,1/1/95,boxart/original/front/4878-1.jpg,3DO
4879,The Daedalus Encounter,1/1/95,boxart/original/front/4879-1.jpg,3DO
4880,The Horde,1/1/94,boxart/original/front/4880-1.jpg,3DO
4881,Theme Park,1/1/94,boxart/original/front/4881-1.jpg,3DO
4882,The Need for Speed,1/1/94,boxart/original/front/4882-1.jpg,3DO
4883,Total Eclipse,8/29/95,boxart/original/front/4883-1.png,3DO
4884,Twisted: The Game Show,1/1/93,boxart/original/front/4884-1.jpg,3DO
4885,Way of the Warrior,5/11/95,boxart/original/front/4885-1.png,3DO
4886,Wing Commander III: Heart of the Tiger,1/1/95,boxart/original/front/4886-1.jpg,3DO
27250,Twinkle Knights,1/1/95,boxart/original/front/27250-1.jpg,3DO
5840,Creature Shock,3/19/96,boxart/original/front/5840-1.jpg,3DO
5841,Dragon's Lair,1/1/94,boxart/original/front/5841-1.jpg,3DO
5842,The Incredible Machine,1/1/94,boxart/original/front/5842-1.jpg,3DO
5843,Jurassic Park Interactive,5/6/94,boxart/original/front/5843-1.png,3DO
5844,Psychic Detective,1/1/96,boxart/original/front/5844-1.jpg,3DO
5845,Snow Job,1/1/95,boxart/original/front/5845-1.jpg,3DO
5846,Supreme Warrior,11/1/94,boxart/original/front/5846-1.png,3DO
35419,The Coven,5/25/94,boxart/original/front/35419-1.jpg,3DO
35420,Sex,5/25/94,boxart/original/front/35420-1.jpg,3DO
10080,Alone in the Dark,8/3/94,boxart/original/front/10080-1.jpg,3DO
10081,Alone in the Dark 2,9/8/95,boxart/original/front/10081-1.jpg,3DO
10082,Ballz: The Director's Cut,1/1/95,boxart/original/front/10082-1.jpg,3DO
10083,BC Racers,1/1/95,boxart/original/front/10083-1.jpg,3DO
14371,Demolition Man,7/20/95,boxart/original/front/14371-1.png,3DO
14372,DinoPark Tycoon,1/1/94,boxart/original/front/14372-1.jpg,3DO
10085,Bust-A-Move,1/1/95,boxart/original/front/10085-1.jpg,3DO
10086,Cannon Fodder,1/1/94,boxart/original/front/10086-1.jpg,3DO
10087,Captain Quazar,2/1/96,boxart/original/front/10087-1.jpg,3DO
10088,Casper,1/1/96,boxart/original/front/10088-1.jpg,3DO
10089,Crash 'n Burn,1/1/93,boxart/original/front/10089-1.jpg,3DO
10090,Crime Patrol,1/1/93,boxart/original/front/10090-1.jpg,3DO
10091,Cyberdillo,11/1/96,boxart/original/front/10091-1.jpg,3DO
10092,Cyberia,1/1/96,boxart/original/front/10092-1.png,3DO
10094,Defcon 5,5/17/96,boxart/original/front/10094-1.jpg,3DO
10095,Dragon Lore,1/1/94,boxart/original/front/10095-1.jpg,3DO
10096,Escape from Monster Manor,1/1/93,boxart/original/front/10096-1.jpg,3DO
10097,Family Feud,1/1/94,boxart/original/front/10097-1.jpg,3DO
10098,Flying Nightmares,1/1/94,boxart/original/front/10098-1.jpg,3DO
10099,Gridders,1/1/94,boxart/original/front/10099-1.jpg,3DO
10100,Guardian War,5/6/93,boxart/original/front/10100-1.png,3DO
10101,Iron Angel of the Apocalypse: The Return,8/24/95,boxart/original/front/10101-1.png,3DO
10102,Iron Angel of the Apocalypse,1/1/95,boxart/original/front/10102-1.jpg,3DO
10103,John Madden Football,1/1/94,boxart/original/front/10103-1.jpg,3DO
10104,Johnny Bazookatone,1/1/95,boxart/original/front/10104-1.jpg,3DO
10105,Kingdom: The Far Reaches,1/1/95,boxart/original/front/10105-1.jpg,3DO
10106,The Last Bounty Hunter,11/1/95,boxart/original/front/10106-1.jpg,3DO
10107,Lost Eden,1/1/95,boxart/original/front/10107-1.jpg,3DO
10108,Lucienne's Quest,9/14/95,boxart/original/front/10108-1.jpg,3DO
10109,Mazer,1/1/95,boxart/original/front/10109-1.jpg,3DO
10110,MegaRace,1/1/94,boxart/original/front/10110-1.jpg,3DO
10111,Microcosm,3/14/94,boxart/original/front/10111-1.jpg,3DO
10112,Night Trap,1/1/94,boxart/original/front/10112-1.jpg,3DO
10131,Off-World Interceptor,1/1/94,boxart/original/front/10131-1.jpg,3DO
10132,Olympic Soccer,4/26/95,boxart/original/front/10132-1.jpg,3DO
10133,Olympic Summer Games,6/7/96,boxart/original/front/10133-1.jpg,3DO
10134,Out of This World,1/1/91,boxart/original/front/10134-1.jpg,3DO
10135,Panzer General,1/1/95,boxart/original/front/10135-1.jpg,3DO
10136,Pataank,1/1/94,boxart/original/front/10136-1.jpg,3DO
10137,The Perfect General,1/1/96,boxart/original/front/10137-1.jpg,3DO
10138,PGA Tour 96,1/1/95,boxart/original/front/10138-1.jpg,3DO
10139,Phoenix 3,3/17/95,boxart/original/front/10139-1.png,3DO
10140,Quarterback Attack with Mike Ditka,1/1/96,boxart/original/front/10140-1.jpg,3DO
10141,Real Pinball,1/1/94,boxart/original/front/10141-1.jpg,3DO
10142,Return Fire,1/1/95,boxart/original/front/10142-1.jpg,3DO
10143,Robinson's Requiem,1/1/96,boxart/original/front/10143-1.jpg,3DO
10144,Scramble Cobra,1/1/95,boxart/original/front/10144-1.jpg,3DO
10145,Shanghai: Triple-Threat,1/1/94,boxart/original/front/10145-1.jpg,3DO
10146,Soccer Kid,5/2/94,boxart/original/front/10146-1.jpg,3DO
10147,Space Ace,1/1/95,boxart/original/front/10147-1.jpg,3DO
10148,Space Pirates,1/1/94,boxart/original/front/10148-1.png,3DO
10149,Star Fighter,1/1/96,boxart/original/front/10149-1.jpg,3DO
10150,Strahl,1/1/95,boxart/original/front/10150-1.jpg,3DO
10151,Striker: World Cup Special,1/1/95,boxart/original/front/10151-1.jpg,3DO
10152,Trip'd,1/1/95,boxart/original/front/10152-1.jpg,3DO
10153,Virtuoso,8/16/95,boxart/original/front/10153-1.png,3DO
10154,VR Stalker,1/1/94,boxart/original/front/10154-1.jpg,3DO
10155,Waialae Country Club,1/1/94,boxart/original/front/10155-1.jpg,3DO
10156,Who Shot Johnny Rock?,1/1/95,boxart/original/front/10156-1.jpg,3DO
10157,Wicked 18,1/1/95,boxart/original/front/10157-1.jpg,3DO
10158,Wolfenstein 3D,10/19/95,boxart/original/front/10158-1.jpg,3DO
10159,World Cup Golf: Hyatt Dorado Beach,1/1/94,boxart/original/front/10159-1.jpg,3DO
10160,Zhadnost: The People's Party,3/2/95,boxart/original/front/10160-2.jpg,3DO
11728,PO'ed,11/17/97,boxart/original/front/11728-1.jpg,3DO
12477,The Lost Files of Sherlock Holmes,1/1/94,boxart/original/front/12477-1.jpg,3DO
14370,DeathKeep,1/1/95,boxart/original/front/14370-1.jpg,3DO
14369,Air Warrior,1/1/95,boxart/original/front/14369-1.jpg,3DO
17688,Carrier: Fortress at Sea,,boxart/original/front/17688-1.jpg,3DO
17687,20th Century Video Almanac,,boxart/original/front/17687-1.jpg,3DO
19027,Flashback: The Quest for Identity,1/1/92,boxart/original/front/19027-1.jpg,3DO
23988,Cowboy Casino,,boxart/original/front/23988-1.jpg,3DO
23989,Club 3DO: Station Invasion,6/1/94,boxart/original/front/23989-1.jpg,3DO
23990,D,4/1/95,boxart/original/front/23990-1.jpg,3DO
25182,3DO Action Pak,,boxart/original/front/25182-1.jpg,3DO
25183,3DO Maniac Pack,,boxart/original/front/25183-1.jpg,3DO
25184,Autobahn Tokio,,boxart/original/front/25184-1.jpg,3DO
25185,Battle Pinball,,boxart/original/front/25185-1.jpg,3DO
25186,Battlesport,,boxart/original/front/25186-1.jpg,3DO
25187,Blue Forest Story: Kaze no Fūin,4/26/96,boxart/original/front/25187-1.jpg,3DO
25189,Winning Post,9/16/94,boxart/original/front/25189-1.jpg,3DO
26666,Royal Pro Wrestling: Jikkyou Live!!,2/26/96,boxart/original/front/26666-1.jpg,3DO
26667,Doctor Hauzer,4/29/94,boxart/original/front/26667-1.jpg,3DO
26668,Rise of the Robots,1/1/95,boxart/original/front/26668-1.jpg,3DO
26700,Shadow: War of Succession,1/1/94,boxart/original/front/26700-1.jpg,3DO
26701,Eye of the Typhoon,1/1/96,boxart/original/front/26701-1.jpg,3DO
26724,Bishoujo Senshi Sailor Moon S,3/17/95,boxart/original/front/26724-1.jpg,3DO
29220,Yuu Yuu Hakusho,12/23/94,boxart/original/front/29220-1.jpg,3DO
29579,Mind Teazzer,,boxart/original/front/29579-1.jpg,3DO
32768,J-League Virtual Stadium '95,10/27/95,boxart/original/front/32768-1.jpg,3DO
32769,V-Goal Soccer '96,3/22/96,boxart/original/front/32769-1.jpg,3DO
35035,Blonde Justice,5/25/94,boxart/original/front/35035-1.png,3DO
35028,NeuroDancer: Journey into the NeuroNET,1/1/94,boxart/original/front/35028-1.jpg,3DO
38684,Lemmings,,boxart/original/front/38684-1.jpg,3DO
43511,Ultraman Powered,,boxart/original/front/43511-1.png,3DO
43001,3D Atlas,1/1/94,boxart/original/front/43001-1.jpg,3DO
43002,Digital Dreamware,,boxart/original/front/43002-1.jpg,3DO
43003,Drug Wars,,boxart/original/front/43003-1.jpg,3DO
43006,3DO Interactive Sampler 3,,boxart/original/front/43006-1.jpg,3DO
43007,The Animals! San Diego Zoo,,boxart/original/front/43007-1.jpg,3DO
43009,Shelly Duvall's It's A Bird's Life,,boxart/original/front/43009-1.jpg,3DO
43010,3DO Buffet,,boxart/original/front/43010-1.jpg,3DO
