id,GameTitle,ReleaseDate,thumb,Platform
206,Commando,5/4/88,boxart/original/front/206-2.jpg,2600
207,DigDug,1/1/82,boxart/original/front/207-1.jpg,2600
10128,HERO,1/1/84,boxart/original/front/10128-1.jpg,2600
1292,Ghostbusters,1984,boxart/original/front/1292-2.jpg,2600
1341,Amidar,1/1/82,boxart/original/front/1341-1.jpg,2600
1342,Asteroids,8/1/79,boxart/original/front/1342-1.jpg,2600
1343,Battlezone,1/1/83,boxart/original/front/1343-1.jpg,2600
1344,Blackjack,1/1/77,boxart/original/front/1344-1.jpg,2600
1345,Casino (Poker Plus),5/1/78,boxart/original/front/1345-1.jpg,2600
1346,Centipede,1/1/82,boxart/original/front/1346-1.jpg,2600
1347,Defender,1/1/80,boxart/original/front/1347-1.jpg,2600
1348,Gravitar,1/1/83,boxart/original/front/1348-1.jpg,2600
1349,Indy 500 (Auto Racing),1/1/77,boxart/original/front/1349-1.jpg,2600
1350,Joust,1/1/83,boxart/original/front/1350-1.jpg,2600
1351,Jungle Hunt,7/1/82,boxart/original/front/1351-1.jpg,2600
1352,Kangaroo,5/2/83,boxart/original/front/1352-1.jpg,2600
1353,Moon Patrol,1/1/83,boxart/original/front/1353-1.jpg,2600
1354,Spider Fighter,1/1/82,boxart/original/front/1354-1.jpg,2600
1355,Star Ship (Outer Space),5/4/77,boxart/original/front/1355-1.jpg,2600
1357,Starmaster,12/1/82,boxart/original/front/1357-2.jpg,2600
1358,Venture,1/1/82,boxart/original/front/1358-1.jpg,2600
1359,Warlords,1/1/81,boxart/original/front/1359-1.jpg,2600
1360,Wizard of Wor,1/1/82,boxart/original/front/1360-1.jpg,2600
1363,Moonsweeper,1/1/83,boxart/original/front/1363-1.jpg,2600
1364,Polaris,12/31/83,boxart/original/front/1364-1.jpg,2600
1365,River Raid,1/1/82,boxart/original/front/1365-1.jpg,2600
1366,Dark Chambers,5/4/88,boxart/original/front/1366-1.jpg,2600
1367,Defender II,10/22/84,boxart/original/front/1367-1.jpg,2600
1368,Desert Falcon,5/7/87,boxart/original/front/1368-1.jpg,2600
1369,Frogger,1/1/82,boxart/original/front/1369-1.jpg,2600
1370,Haunted House,1/1/81,boxart/original/front/1370-1.jpg,2600
1371,Kaboom!,1/1/81,boxart/original/front/1371-1.jpg,2600
1372,Swordquest: EarthWorld,1/1/82,boxart/original/front/1372-1.jpg,2600
22141,Basketball,1/1/78,boxart/original/front/22141-1.jpg,2600
22142,Beany Bopper,1/1/82,boxart/original/front/22142-1.jpg,2600
2570,Adventure,1/1/78,boxart/original/front/2570-1.jpg,2600
2959,Star Wars: The Empire Strikes Back,1/1/82,boxart/original/front/2959-1.jpg,2600
2876,Donkey Kong,6/1/82,boxart/original/front/2876-1.jpg,2600
2957,Spider-Man,1/1/82,boxart/original/front/2957-1.jpg,2600
3598,Yars' Revenge,5/3/82,boxart/original/front/3598-1.jpg,2600
35423,X-Man,11/1/84,boxart/original/front/35423-1.jpg,2600
4887,Combat,10/14/77,boxart/original/front/4887-1.jpg,2600
4889,PacMan,1/1/82,boxart/original/front/4889-1.jpg,2600
4890,Space Invaders,1/1/78,boxart/original/front/4890-1.jpg,2600
5296,Air-Sea Battle (Target Fun),3/24/78,boxart/original/front/5296-1.jpg,2600
5297,Berzerk,8/2/82,boxart/original/front/5297-1.jpg,2600
5298,Brain Games,1/1/78,boxart/original/front/5298-1.jpg,2600
5299,Breakout (Breakaway IV),1/1/78,boxart/original/front/5299-1.jpg,2600
5300,California Games,1/1/87,boxart/original/front/5300-1.jpg,2600
5301,Circus Atari,1/1/78,boxart/original/front/5301-1.jpg,2600
5302,Double Dunk,8/15/89,boxart/original/front/5302-1.jpg,2600
5303,Frankenstein's Monster,1/1/83,boxart/original/front/5303-1.jpg,2600
5304,Freeway,7/15/81,boxart/original/front/5304-1.jpg,2600
5305,Galaxian,1/1/83,boxart/original/front/5305-1.jpg,2600
5306,Jr. Pac-Man,1/1/84,boxart/original/front/5306-1.jpg,2600
