id,GameTitle,ReleaseDate,thumb,Platform
3373,Dark Arena,1/18/02,boxart/original/front/3373-1.jpg,GBA
3374,Dave Mirra Freestyle BMX 2,11/25/01,boxart/original/front/3374-1.jpg,GBA
3375,Davis Cup Tennis,10/14/02,boxart/original/front/3375-1.jpg,GBA
198,Classic NES Series: Zelda II: The Adventure of Link,10/25/04,boxart/original/front/198-1.jpg,GBA
45987,Dragon Drive: World D Break,7/18/03,boxart/original/front/45987-1.jpg,GBA
45988,Dragon Quest Characters: Torneko no Daibouken 3 Advance - Fushigi no Dungeon,6/24/04,boxart/original/front/45988-1.jpg,GBA
25972,Galidor: Defenders of the Outer Dimension,10/29/02,boxart/original/front/25972-1.jpg,GBA
2847,Classic NES Series: Castlevania,10/25/04,boxart/original/front/2847-1.jpg,GBA
11551,King of Fighters EX: Neo Blood,11/5/02,boxart/original/front/11551-1.png,GBA
11552,King of Fighters EX 2: Howling Blood,12/11/03,boxart/original/front/11552-1.png,GBA
11553,The Lord of the Rings: The Fellowship of the Ring,9/25/02,boxart/original/front/11553-1.jpg,GBA
3674,Samurai Jack: The Amulet of Time,3/30/03,boxart/original/front/3674-1.jpg,GBA
2314,Pokémon LeafGreen Version,1/29/04,boxart/original/front/2314-1.jpg,GBA
2331,F-Zero: GP Legend,11/28/03,boxart/original/front/2331-1.png,GBA
2332,F-Zero: Maximum Velocity,3/21/01,boxart/original/front/2332-1.png,GBA
2333,Guilty Gear X: Advance Edition,1/25/02,boxart/original/front/2333-1.jpg,GBA
2334,Gunstar Super Heroes,10/6/05,boxart/original/front/2334-1.jpg,GBA
2335,Kingdom Hearts: Chain of Memories,11/11/04,boxart/original/front/2335-2.jpg,GBA
2336,Kirby & the Amazing Mirror,4/15/04,boxart/original/front/2336-1.png,GBA
2337,Kirby: Nightmare in Dreamland,10/25/02,boxart/original/front/2337-1.png,GBA
2338,Klonoa: Empire of Dreams,7/19/01,boxart/original/front/2338-1.png,GBA
2339,Klonoa 2: Dream Champ Tournament,8/6/02,boxart/original/front/2339-1.jpg,GBA
2340,Mega Man & Bass,8/10/02,boxart/original/front/2340-1.jpg,GBA
2341,Mega Man Zero,9/10/02,boxart/original/front/2341-1.png,GBA
2342,Mega Man Zero 2,10/14/03,boxart/original/front/2342-1.png,GBA
2343,Mega Man Zero 3,10/5/04,boxart/original/front/2343-1.png,GBA
2344,Mega Man Zero 4,10/4/05,boxart/original/front/2344-1.png,GBA
2345,R-Type III: The Third Lightning,3/16/04,boxart/original/front/2345-1.jpg,GBA
2346,Sonic Advance,2/3/02,boxart/original/front/2346-1.png,GBA
2347,Super Mario Advance,3/21/01,boxart/original/front/2347-1.png,GBA
2348,Super Mario Advance 2: Super Mario World,2/11/02,boxart/original/front/2348-1.png,GBA
2349,Super Mario Advance 3: Yoshi's Island,9/20/02,boxart/original/front/2349-1.png,GBA
