id,GameTitle,ReleaseDate,thumb,Platform
21934,F1 World Grand Prix II,1/1/00,boxart/original/front/21934-1.jpg,G
25443,3D Pocket Pool,3/30/01,boxart/original/front/25443-1.jpg,G
2360,Pokémon Gold Version,11/21/99,boxart/original/front/2360-1.jpg,G
2361,Pokémon Silver Version,11/21/99,boxart/original/front/2361-1.jpg,G
2362,Pokémon Crystal Version,12/14/00,boxart/original/front/2362-1.jpg,G
20565,Woody Woodpecker: Escape From Buzz Buzzard Park,8/14/01,boxart/original/front/20565-1.jpg,G
20732,Donald Duck: Goin' Quackers,10/1/00,boxart/original/front/20732-1.jpg,G
20733,Disney's The Emperor's New Groove,11/1/00,boxart/original/front/20733-1.jpg,G
6122,The Legend of Zelda: Oracle of Ages,5/14/01,boxart/original/front/6122-1.png,G
6123,The Legend of Zelda: Oracle of Seasons,5/14/01,boxart/original/front/6123-1.png,G
6180,Worms Armageddon,1/19/00,boxart/original/front/6180-1.jpg,G
8599,Bionic Commando: Elite Forces,1/24/00,boxart/original/front/8599-1.png,G
8600,Disney/Pixar A Bug's Life,12/1/98,boxart/original/front/8600-1.jpg,G
8601,Azure Dreams,2/1/00,boxart/original/front/8601-1.png,G
8602,Blaster Master: Enemy Below,9/24/00,boxart/original/front/8602-1.png,G
8603,Bomberman Max: Blue Champion,5/14/00,boxart/original/front/8603-1.jpg,G
8604,Bomberman Max: Red Challenger,5/14/00,boxart/original/front/8604-1.jpg,G
8605,Bomberman Quest,11/1/99,boxart/original/front/8605-1.jpg,G
8606,Bust-A-Move Millennium,10/11/00,boxart/original/front/8606-1.jpg,G
8607,Classic Bubble Bobble,1/1/99,boxart/original/front/8607-1.jpg,G
8608,Conker's Pocket Tales,6/8/99,boxart/original/front/8608-1.png,G
8609,Croc 2,1/25/01,boxart/original/front/8609-1.jpg,G
8610,Crystalis,6/26/00,boxart/original/front/8610-1.jpg,G
8611,Daikatana,6/30/00,boxart/original/front/8611-1.jpg,G
8612,Donkey Kong Country,11/23/00,boxart/original/front/8612-1.jpg,G
8613,Dragon Warrior I & II,9/27/00,boxart/original/front/8613-1.jpg,G
8614,Dragon Warrior III,7/16/01,boxart/original/front/8614-1.jpg,G
8615,Dragon Warrior Monsters,1/27/00,boxart/original/front/8615-1.jpg,G
8616,Dragon Warrior Monsters 2: Cobi's Journey,9/15/01,boxart/original/front/8616-1.jpg,G
8617,Dragon Warrior Monsters 2: Tara's Adventure,9/15/01,boxart/original/front/8617-1.jpg,G
8618,Game & Watch Gallery 2,11/1/98,boxart/original/front/8618-1.png,G
8619,Game & Watch Gallery 3,4/8/99,boxart/original/front/8619-1.png,G
8620,Ghosts n Goblins,1/1/00,boxart/original/front/8620-1.jpg,G
