id,GameTitle,ReleaseDate,thumb,Platform
1260,Darkman,1991,boxart/original/front/1260-1.jpg,G
3167,Castlevania II: Belmont's Revenge,7/12/91,boxart/original/front/3167-1.png,G
1726,Super Mario Land,4/21/89,boxart/original/front/1726-1.png,G
1727,Super Mario Land 2: 6 Golden Coins,10/21/92,boxart/original/front/1727-1.png,G
1728,Wario Land: Super Mario Land 3,1/21/94,boxart/original/front/1728-1.png,G
3176,Donkey Kong Land 2,1/16/96,boxart/original/front/3176-1.jpg,G
3151,Adventure Island II,2/1/93,boxart/original/front/3151-1.jpg,G
3152,Alleyway,8/1/89,boxart/original/front/3152-1.jpg,G
3153,Baseball,7/31/89,boxart/original/front/3153-1.jpg,G
3154,Bases Loaded,7/1/90,boxart/original/front/3154-1.jpg,G
3155,Bomberman GB,4/1/98,boxart/original/front/3155-1.jpg,G
3156,Boomer's Adventure in ASMIK World,4/1/90,boxart/original/front/3156-1.jpg,G
2305,Kirby's Block Ball,12/14/95,boxart/original/front/2305-1.jpg,G
2356,Pokémon Red Version,2/27/96,boxart/original/front/2356-1.jpg,G
2357,Pokémon Blue Version,10/15/96,boxart/original/front/2357-1.jpg,G
2358,Pokémon Green Version,2/27/96,boxart/original/front/2358-1.jpg,G
2359,Pokémon Yellow Version: Special Pikachu Edition,9/12/98,boxart/original/front/2359-1.jpg,G
2643,Ninja Gaiden Shadow,12/9/91,boxart/original/front/2643-1.png,G
2644,Donkey Kong Land,7/26/95,boxart/original/front/2644-1.jpg,G
2647,Blaster Master Boy,1991,boxart/original/front/2647-1.jpg,G
3177,Double Dragon,12/31/90,boxart/original/front/3177-1.png,G
3107,Mega Man III,12/1/92,boxart/original/front/3107-1.png,G
3193,The Legend of Zelda: Link's Awakening,6/6/93,boxart/original/front/3193-1.png,G
3192,Kirby's Star Stacker,4/1/97,boxart/original/front/3192-1.png,G
3191,Kirby's Pinball Land,3/4/94,boxart/original/front/3191-1.png,G
3190,Kirby's Dream Land 2,5/1/95,boxart/original/front/3190-1.png,G
3189,Killer Instinct,11/1/95,boxart/original/front/3189-1.png,G
3188,Kid Icarus: Of Myths and Monsters,11/5/91,boxart/original/front/3188-1.png,G
3187,James Bond 007,2/1/98,boxart/original/front/3187-1.jpg,G
3186,Game & Watch Gallery,2/1/97,boxart/original/front/3186-1.png,G
3185,Final Fantasy Legend III,9/29/93,boxart/original/front/3185-1.png,G
3184,Final Fantasy Legend II,11/1/91,boxart/original/front/3184-1.png,G
3183,Final Fantasy Legend,9/1/90,boxart/original/front/3183-1.png,G
3182,Final Fantasy Adventure,4/1/98,boxart/original/front/3182-1.png,G
3181,Faceball 2000,12/1/91,boxart/original/front/3181-1.jpg,G
3178,Dr. Mario,12/31/90,boxart/original/front/3178-1.png,G
3175,Donkey Kong Land III,10/1/97,boxart/original/front/3175-1.jpg,G
3174,Donkey Kong,6/21/94,boxart/original/front/3174-1.png,G
3172,Castlevania: The Adventure,12/3/89,boxart/original/front/3172-1.png,G
6024,Teenage Mutant Ninja Turtles: Fall of the Foot Clan,1/1/90,boxart/original/front/6024-1.png,G
6124,Teenage Mutant Ninja Turtles II: Back from the Sewers,12/6/91,boxart/original/front/6124-1.png,G
6125,Teenage Mutant Ninja Turtles III: Radical Rescue,12/31/89,boxart/original/front/6125-1.png,G
6771,Metroid II: Return of Samus,11/1/91,boxart/original/front/6771-1.png,G
8379,Looney Tunes,10/1/92,boxart/original/front/8379-1.jpg,G
8380,Spider-Man 3: Invasion of Spider-Slayers,7/1/93,boxart/original/front/8380-1.png,G
8381,Spy vs Spy Operation: Booby Trap,9/1/92,boxart/original/front/8381-1.jpg,G
8706,Kirby's Dream Land,8/1/92,boxart/original/front/8706-1.jpg,G
9366,Last Action Hero,10/1/93,boxart/original/front/9366-1.png,G
10242,Miner 2049er,10/15/92,boxart/original/front/10242-1.jpg,G
10616,Tetris,7/31/89,boxart/original/front/10616-2.jpg,G
10745,Ghostbusters II,4/2/90,boxart/original/front/10745-1.jpg,G
10970,Bionic Commando,10/1/92,boxart/original/front/10970-1.png,G
11150,Kid Dracula,3/16/93,boxart/original/front/11150-1.png,G
11163,WWF King of the Ring,9/1/93,boxart/original/front/11163-1.png,G
21588,Cool World,6/1/93,boxart/original/front/21588-1.jpg,G
11197,Animaniacs,7/1/95,boxart/original/front/11197-1.jpg,G
11198,Batman: The Animated Series,11/12/93,boxart/original/front/11198-1.jpg,G
11199,Batman: The Video Game,6/13/90,boxart/original/front/11199-1.png,G
11526,Castlevania Legends,3/11/98,boxart/original/front/11526-1.png,G
11547,Wario Land II,3/2/98,boxart/original/front/11547-1.png,G
13058,The Simpsons: Bart & the Beanstalk,2/1/94,boxart/original/front/13058-1.png,G
13059,Bart Simpson's Escape from Camp Deadly,12/31/93,boxart/original/front/13059-1.jpg,G
13060,Battle Unit Zeoth,7/1/91,boxart/original/front/13060-1.jpg,G
13061,Battletoads,11/1/91,boxart/original/front/13061-1.png,G
13062,Battletoads in Ragnarok's World,6/1/93,boxart/original/front/13062-1.png,G
13063,Battletoads & Double Dragon,12/31/93,boxart/original/front/13063-1.png,G
13065,Double Dragon II,11/30/91,boxart/original/front/13065-1.png,G
13066,Double Dragon 3: The Arcade Game,3/14/93,boxart/original/front/13066-1.png,G
13068,Wizards & Warriors X: Fortress of Fear,1/18/90,boxart/original/front/13068-1.png,G
13069,Gargoyle's Quest,7/1/90,boxart/original/front/13069-1.png,G
13070,Gauntlet II,12/31/92,boxart/original/front/13070-1.jpg,G
13073,Heiankyo Alien,4/1/90,boxart/original/front/13073-1.jpg,G
13075,Mega Man II,2/1/92,boxart/original/front/13075-1.png,G
13076,Mega Man IV,12/1/93,boxart/original/front/13076-1.png,G
13077,Mega Man V,12/1/93,boxart/original/front/13077-1.png,G
13078,Mega Man: Dr. Wily's Revenge,12/1/91,boxart/original/front/13078-1.jpg,G
13079,Milon's Secret Castle,1/1/93,boxart/original/front/13079-1.jpg,G
13103,Mortal Kombat,9/13/93,boxart/original/front/13103-1.png,G
13104,Mortal Kombat II,9/12/94,boxart/original/front/13104-1.png,G
13106,Primal Rage,12/31/95,boxart/original/front/13106-1.jpg,G
13107,Raging Fighter,6/30/93,boxart/original/front/13107-1.jpg,G
13114,Star Wars,6/30/92,boxart/original/front/13114-1.jpg,G
13115,Star Wars: The Empire Strikes Back,12/30/91,boxart/original/front/13115-1.jpg,G
13116,Street Fighter II: The World Warrior,8/11/95,boxart/original/front/13116-1.png,G
13118,T2 - The Arcade Game,12/31/93,boxart/original/front/13118-1.jpg,G
13126,Ultima: Runes of Virtue II,6/1/93,boxart/original/front/13126-1.jpg,G
13127,Ultima: Runes of Virtue,7/1/92,boxart/original/front/13127-1.jpg,G
