id,GameTitle,ReleaseDate,thumb,Platform
48581,Killer 7,6/9/05,boxart/original/front/48581-1.jpg,GC
34,Killer7,7/7/05,boxart/original/front/34-1.jpg,GC
56,Resident Evil 4,1/11/05,boxart/original/front/56-2.jpg,GC
6263,Star Fox Adventures,9/23/02,boxart/original/front/6263-1.jpg,GC
71,Viewtiful Joe,10/7/03,boxart/original/front/71-2.jpg,GC
174,The Legend of Zelda: The Wind Waker,3/24/03,boxart/original/front/174-1.jpg,GC
166,Mario Kart: Double Dash!!,11/17/03,boxart/original/front/166-1.jpg,GC
167,Mario Party 4,10/21/02,boxart/original/front/167-1.jpg,GC
172,Metroid Prime,11/17/02,boxart/original/front/172-1.jpg,GC
32205,Captain Tsubasa : Ougon Sedai no Chousen,9/12/02,boxart/original/front/32205-1.png,GC
16765,Tak 2: The Staff of Dreams,10/11/04,boxart/original/front/16765-1.jpg,GC
9874,Evolution Worlds,12/2/02,boxart/original/front/9874-1.jpg,GC
9875,FIFA Soccer 07,10/3/06,boxart/original/front/9875-1.jpg,GC
6260,Mario Golf: Toadstool Tour,7/29/03,boxart/original/front/6260-1.jpg,GC
2258,Star Fox: Assault,2/14/05,boxart/original/front/2258-2.jpg,GC
2236,Super Mario Sunshine,8/25/02,boxart/original/front/2236-1.jpg,GC
6267,Super Mario Strikers,12/5/05,boxart/original/front/6267-1.jpg,GC
2237,Luigi's Mansion,11/18/01,boxart/original/front/2237-1.jpg,GC
2291,Kururin Squash,10/14/04,boxart/original/front/2291-1.jpg,GC
2301,1080° Avalanche,11/28/03,boxart/original/front/2301-1.jpg,GC
2302,Donkey Kong Jungle Beat,3/14/05,boxart/original/front/2302-1.jpg,GC
2316,Mario Party 5,11/10/03,boxart/original/front/2316-1.jpg,GC
2317,Mario Party 6,12/6/04,boxart/original/front/2317-1.jpg,GC
2318,Mario Party 7,11/7/05,boxart/original/front/2318-1.jpg,GC
2319,Paper Mario: The Thousand-Year Door,10/11/04,boxart/original/front/2319-1.jpg,GC
2320,Superman: Shadow Of Apokolips,9/25/02,boxart/original/front/2320-1.jpg,GC
2321,Tony Hawk's American Wasteland,10/18/05,boxart/original/front/2321-1.jpg,GC
2322,Tony Hawk's Pro Skater 4,10/23/02,boxart/original/front/2322-1.jpg,GC
2323,Tony Hawk's Underground,10/27/03,boxart/original/front/2323-1.jpg,GC
2324,Tony Hawk's Underground 2,10/4/04,boxart/original/front/2324-1.jpg,GC
2325,Viewtiful Joe 2,11/18/04,boxart/original/front/2325-1.jpg,GC
2326,Viewtiful Joe: Red Hot Rumble,11/8/05,boxart/original/front/2326-1.jpg,GC
2327,Wario World,6/24/03,boxart/original/front/2327-1.jpg,GC
2328,Wave Race: Blue Storm,9/14/01,boxart/original/front/2328-1.jpg,GC
2383,The Legend of Zelda: Collector's Edition,11/14/03,boxart/original/front/2383-1.jpg,GC
2496,Bust-A-Move 3000,2/12/03,boxart/original/front/2496-1.jpg,GC
2498,F-Zero GX,8/26/03,boxart/original/front/2498-1.jpg,GC
2519,Pikmin,12/2/01,boxart/original/front/2519-1.jpg,GC
2520,Crazy Taxi,11/18/01,boxart/original/front/2520-1.jpg,GC
2522,Mario Power Tennis,11/8/04,boxart/original/front/2522-2.jpg,GC
2569,Batman Vengeance,11/18/01,boxart/original/front/2569-1.jpg,GC
4213,XIII,11/25/03,boxart/original/front/4213-1.jpg,GC
3899,Chibi-Robo!,2/26/06,boxart/original/front/3899-1.jpg,GC
3925,Metal Gear Solid: The Twin Snakes,4/2/04,boxart/original/front/3925-1.jpg,GC
3944,Resident Evil,4/30/02,boxart/original/front/3944-1.jpg,GC
4192,Bomberman Generation,6/3/02,boxart/original/front/4192-1.jpg,GC
