id,GameTitle,ReleaseDate,thumb,Platform
4049,ABPA Backgammon,12/3/79,boxart/original/front/4049-1.jpg,Int
4050,ADVANCED DUNGEONS & DRAGONS Cartridge,7/15/82,boxart/original/front/4050-1.jpg,Int
4051,Armor Battle,12/3/79,boxart/original/front/4051-1.jpg,Int
4052,Astrosmash,10/15/81,boxart/original/front/4052-1.jpg,Int
4053,Auto Racing,10/3/80,boxart/original/front/4053-1.jpg,Int
4054,B-17 Bomber,7/23/82,boxart/original/front/4054-1.jpg,Int
4057,Bomb Squad,9/14/82,boxart/original/front/4057-1.jpg,Int
4059,Boxing,10/21/81,boxart/original/front/4059-1.jpg,Int
4060,BurgerTime,1/1/82,boxart/original/front/4060-1.jpg,Int
4061,Buzz Bombers,1/1/83,boxart/original/front/4061-1.jpg,Int
4062,Demon Attack,1/1/82,boxart/original/front/4062-1.jpg,Int
4063,Donkey Kong,1/1/82,boxart/original/front/4063-1.jpg,Int
4064,Dracula,1/1/83,boxart/original/front/4064-1.jpg,Int
4065,Dragonfire,1/1/82,boxart/original/front/4065-1.jpg,Int
4067,Frog Bog,5/25/82,boxart/original/front/4067-1.jpg,Int
4068,Frogger,1/1/83,boxart/original/front/4068-1.jpg,Int
4070,Horse Racing,10/3/80,boxart/original/front/4070-1.jpg,Int
4071,Lock 'N' Chase,7/9/82,boxart/original/front/4071-1.jpg,Int
4072,Loco-Motion,1/1/83,boxart/original/front/4072-1.jpg,Int
4073,Microsurgeon,1/1/82,boxart/original/front/4073-1.jpg,Int
4074,Mission-X,1/1/83,boxart/original/front/4074-1.jpg,Int
4075,NASL Soccer,9/4/80,boxart/original/front/4075-1.jpg,Int
4076,NHL Hockey,10/3/80,boxart/original/front/4076-1.jpg,Int
4077,Night Stalker,5/16/82,boxart/original/front/4077-1.jpg,Int
4078,PBA Bowling,7/31/81,boxart/original/front/4078-1.jpg,Int
4079,Pitfall!,1/1/82,boxart/original/front/4079-1.jpg,Int
4080,Las Vegas Poker & Blackjack,12/3/79,boxart/original/front/4080-1.jpg,Int
4081,Popeye,1/1/83,boxart/original/front/4081-1.jpg,Int
4082,Reversi,5/11/82,boxart/original/front/4082-1.jpg,Int
4083,Las Vegas Roulette,10/3/80,boxart/original/front/4083-1.jpg,Int
4084,Sea Battle,10/3/80,boxart/original/front/4084-1.jpg,Int
4085,Shark! Shark!,12/6/82,boxart/original/front/4085-1.jpg,Int
4086,Sharp Shot,10/28/82,boxart/original/front/4086-1.jpg,Int
4088,Snafu,10/15/81,boxart/original/front/4088-1.jpg,Int
4089,Space Armada,10/15/81,boxart/original/front/4089-1.jpg,Int
4090,Space Battle,8/25/80,boxart/original/front/4090-1.jpg,Int
4091,Space Hawk,4/19/82,boxart/original/front/4091-1.jpg,Int
4092,Space Spartans,6/29/82,boxart/original/front/4092-1.jpg,Int
4093,Stampede,12/31/82,boxart/original/front/4093-1.jpg,Int
4094,Star Strike,12/22/81,boxart/original/front/4094-1.jpg,Int
4095,Sub Hunt,5/6/82,boxart/original/front/4095-1.jpg,Int
4096,Swords & Serpents,1/1/82,boxart/original/front/4096-1.jpg,Int
4097,Tennis,12/1/80,boxart/original/front/4097-1.jpg,Int
4098,Triple Action,10/15/81,boxart/original/front/4098-1.jpg,Int
4099,TRON Deadly Discs,8/29/82,boxart/original/front/4099-1.jpg,Int
4100,TRON Maze-A-Tron,10/6/82,boxart/original/front/4100-1.jpg,Int
4101,TRON Solar Sailer,1/1/83,boxart/original/front/4101-1.jpg,Int
4102,Tropical Trouble,1/1/82,boxart/original/front/4102-1.jpg,Int
4103,Utopia,6/3/82,boxart/original/front/4103-1.jpg,Int
4104,Vectron,1/1/83,boxart/original/front/4104-1.jpg,Int
7934,Masters of the Universe: The Power of He-Man,1/1/83,boxart/original/front/7934-1.jpg,Int
9367,ADVANCED DUNGEONS & DRAGONS Treasure of Tarmin Cartridge,12/31/83,boxart/original/front/9367-1.jpg,Int
10279,Venture,1/1/83,boxart/original/front/10279-1.jpg,Int
10498,Major League Baseball,9/4/80,boxart/original/front/10498-1.jpg,Int
10499,Atlantis,1/1/82,boxart/original/front/10499-1.jpg,Int
10500,Beamrider,1/1/83,boxart/original/front/10500-1.jpg,Int
10501,Blockade Runner,1/1/83,boxart/original/front/10501-1.jpg,Int
10502,Body Slam! Super Pro Wrestling,1/1/88,boxart/original/front/10502-1.jpg,Int
10503,Centipede,1/1/83,boxart/original/front/10503-1.jpg,Int
10504,Championship Tennis,12/31/85,boxart/original/front/10504-1.jpg,Int
10505,Checkers,9/17/80,boxart/original/front/10505-1.jpg,Int
10506,Chip Shot: Super Pro Golf,1/1/87,boxart/original/front/10506-1.jpg,Int
10507,Commando,1/1/87,boxart/original/front/10507-1.jpg,Int
10508,Defender,1/1/83,boxart/original/front/10508-1.jpg,Int
10509,Dig Dug,1/1/87,boxart/original/front/10509-1.jpg,Int
10510,Diner,1/1/87,boxart/original/front/10510-1.jpg,Int
10511,Donkey Kong Junior,1/1/83,boxart/original/front/10511-1.jpg,Int
10512,The Dreadnaught Factor,1/1/83,boxart/original/front/10512-1.jpg,Int
10513,The Electric Company Math Fun,12/3/79,boxart/original/front/10513-1.jpg,Int
10514,The Electric Company Word Fun,11/5/80,boxart/original/front/10514-1.jpg,Int
10515,Fathom,1/1/83,boxart/original/front/10515-1.jpg,Int
10516,Go for the Gold,1/1/98,boxart/original/front/10516-1.jpg,Int
10517,Happy Trails,1/1/83,boxart/original/front/10517-1.jpg,Int
10518,Hover Force,1/1/86,boxart/original/front/10518-1.jpg,Int
10523,Ice Trek,1/1/83,boxart/original/front/10523-1.jpg,Int
10524,The Jetsons' Ways with Words,1/1/83,boxart/original/front/10524-1.jpg,Int
10525,Kool-Aid Man,1/1/83,boxart/original/front/10525-1.jpg,Int
10526,Learning Fun I,1/1/87,boxart/original/front/10526-1.jpg,Int
