id,GameTitle,ReleaseDate,thumb,Platform
5,Donkey Kong,1/1/82,boxart/original/front/5-2.jpg,NES
76,Bionic Commando,12/6/88,boxart/original/front/76-1.jpg,NES
112,Super Mario Bros. 3,2/12/90,boxart/original/front/112-2.jpg,NES
113,The Legend of Zelda,7/1/87,boxart/original/front/113-1.png,NES
121,Kirby's Adventure,3/26/93,boxart/original/front/121-1.jpg,NES
123,Metroid,8/15/87,boxart/original/front/123-1.jpg,NES
125,Mega Man 5,12/4/92,boxart/original/front/125-1.jpg,NES
130,Kid Icarus,12/18/86,boxart/original/front/130-1.jpg,NES
133,Lemmings,2/14/91,boxart/original/front/133-1.jpg,NES
135,Castlevania,5/1/87,boxart/original/front/135-1.png,NES
140,Super Mario Bros.,9/13/85,boxart/original/front/140-1.jpg,NES
171,Super Mario Bros. 2,10/9/88,boxart/original/front/171-1.png,NES
189,Mario Bros.,6/1/86,boxart/original/front/189-1.jpg,NES
205,BurgerTime,1/1/87,boxart/original/front/205-1.jpg,NES
208,Double Dragon,1/1/87,boxart/original/front/208-2.jpg,NES
211,Rad Racer,8/17/87,boxart/original/front/211-1.jpg,NES
212,Chubby Cherub,1/1/85,boxart/original/front/212-1.jpg,NES
213,Excitebike,11/30/84,boxart/original/front/213-1.jpg,NES
314,Super Spike V-Ball & Nintendo World Cup,2/1/90,boxart/original/front/314-1.jpg,NES
315,3-D WorldRunner,9/12/87,boxart/original/front/315-1.jpg,NES
316,8 Eyes,1/1/90,boxart/original/front/316-1.jpg,NES
317,10-Yard Fight,10/18/85,boxart/original/front/317-2.jpg,NES
321,Wrecking Crew,6/18/85,boxart/original/front/321-1.jpg,NES
322,Wrath of the Black Manta,4/2/90,boxart/original/front/322-1.jpg,NES
323,Wolverine,10/10/91,boxart/original/front/323-1.jpg,NES
324,Track & Field II,6/1/89,boxart/original/front/324-1.jpg,NES
325,Track & Field,4/20/87,boxart/original/front/325-1.jpg,NES
326,720 Degrees,12/19/86,boxart/original/front/326-1.jpg,NES
327,The Adventures of Bayou Billy,8/12/88,boxart/original/front/327-1.jpg,NES
328,Adventures of Lolo,4/20/89,boxart/original/front/328-1.jpg,NES
329,Airwolf,6/19/89,boxart/original/front/329-1.jpg,NES
330,Asterix,1/1/93,boxart/original/front/330-2.jpg,NES
331,Back to the Future Part II & III,12/31/90,boxart/original/front/331-1.jpg,NES
332,Bad Dudes,1988,boxart/original/front/332-2.jpg,NES
333,Balloon Fight,1/2/85,boxart/original/front/333-1.jpg,NES
334,The Bard's Tale,11/1/91,boxart/original/front/334-1.jpg,NES
335,Baseball,12/7/83,boxart/original/front/335-1.jpg,NES
336,Bases Loaded II: Second Season,1/1/89,boxart/original/front/336-2.jpg,NES
337,Batman: The Video Game,2/1/90,boxart/original/front/337-1.jpg,NES
338,Castlevania II: Simon's Quest,12/1/88,boxart/original/front/338-1.jpg,NES
339,Castlevania III: Dracula's Curse,9/1/90,boxart/original/front/339-1.jpg,NES
340,Clu Clu Land,11/22/84,boxart/original/front/340-1.jpg,NES
341,Crystalis,4/13/90,boxart/original/front/341-1.jpg,NES
342,Double Dragon II: The Revenge,12/1/88,boxart/original/front/342-1.jpg,NES
343,Double Dribble,9/1/87,boxart/original/front/343-2.jpg,NES
344,Dr. Mario,10/14/90,boxart/original/front/344-2.jpg,NES
345,Dragon Warrior,8/1/89,boxart/original/front/345-1.jpg,NES
346,Duck Hunt,4/21/84,boxart/original/front/346-2.jpg,NES
347,Dynowarz: Destruction of Spondylus,4/1/89,boxart/original/front/347-1.jpg,NES
348,Elevator Action,8/1/87,boxart/original/front/348-1.jpg,NES
349,Ghosts 'n Goblins,9/19/86,boxart/original/front/349-1.jpg,NES
350,Golf,5/1/84,boxart/original/front/350-1.jpg,NES
351,Gumshoe,6/6/86,boxart/original/front/351-1.jpg,NES
352,Heavy Barrel,1987,boxart/original/front/352-1.jpg,NES
353,Hudson Hawk,1991,boxart/original/front/353-1.jpg,NES
354,Jackal,6/27/86,boxart/original/front/354-2.jpg,NES
355,King's Knight,9/18/86,boxart/original/front/355-1.jpg,NES
356,Low G Man: The Low Gravity Man,9/1/90,boxart/original/front/356-1.jpg,NES
357,Lunar Pool,12/5/85,boxart/original/front/357-1.jpg,NES
358,Mach Rider,10/18/85,boxart/original/front/358-1.jpg,NES
359,Marble Madness,3/1/89,boxart/original/front/359-1.jpg,NES
360,Mega Man,12/17/87,boxart/original/front/360-1.jpg,NES
361,Mega Man 2,11/24/88,boxart/original/front/361-1.jpg,NES
362,Mega Man 3,9/28/90,boxart/original/front/362-1.jpg,NES
363,Mega Man 4,12/6/91,boxart/original/front/363-1.jpg,NES
364,Mega Man 6,10/6/92,boxart/original/front/364-1.jpg,NES
365,Metal Gear,7/7/87,boxart/original/front/365-1.jpg,NES
366,Snake's Revenge,4/13/90,boxart/original/front/366-1.jpg,NES
367,Mission: Impossible,9/1/90,boxart/original/front/367-1.jpg,NES
368,MULE,9/1/90,boxart/original/front/368-1.jpg,NES
370,Ninja Gaiden II: The Dark Sword of Chaos,5/1/90,boxart/original/front/370-1.png,NES
371,Paperboy,12/1/88,boxart/original/front/371-1.jpg,NES
372,Pinball,10/1/85,boxart/original/front/372-1.jpg,NES
373,Pinball Quest,6/30/90,boxart/original/front/373-1.jpg,NES
374,Predator,4/1/89,boxart/original/front/374-1.jpg,NES
375,RoboCop,8/25/89,boxart/original/front/375-1.jpg,NES
376,Rush'n Attack,6/8/89,boxart/original/front/376-1.jpg,NES
378,Skykid,1/1/86,boxart/original/front/378-1.jpg,NES
379,Slalom,1/1/87,boxart/original/front/379-1.jpg,NES
380,Spider-Man: Return of the Sinister Six,10/15/92,boxart/original/front/380-1.jpg,NES
381,Star Wars,11/15/91,boxart/original/front/381-1.png,NES
382,Super Spy Hunter,1/1/91,boxart/original/front/382-1.jpg,NES
383,Teenage Mutant Ninja Turtles,12/31/89,boxart/original/front/383-1.png,NES
384,Tennis,10/1/85,boxart/original/front/384-1.jpg,NES
385,The Battle of Olympus,3/28/90,boxart/original/front/385-1.jpg,NES
387,Tiger-Heli,10/1/87,boxart/original/front/387-1.jpg,NES
388,Time Lord,9/1/90,boxart/original/front/388-1.jpg,NES
389,Top Gun,11/1/87,boxart/original/front/389-1.jpg,NES
458,Bram Stoker's Dracula,9/1/93,boxart/original/front/458-2.jpg,NES
955,Lode Runner,9/1/87,boxart/original/front/955-1.jpg,NES
970,Smash T.V.,9/1/91,boxart/original/front/970-1.jpg,NES
1018,1943: The Battle of Midway,6/1/87,boxart/original/front/1018-1.jpg,NES
1019,A Nightmare on Elm Street,10/1/90,boxart/original/front/1019-1.jpg,NES
1020,Advanced Dungeons & Dragons: Dragons of Flame,2/21/92,boxart/original/front/1020-1.jpg,NES
1021,Advanced Dungeons & Dragons: Heroes of the Lance,1988,boxart/original/front/1021-1.jpg,NES
1023,Adventure Island II,1/1/91,boxart/original/front/1023-1.jpg,NES
1024,Adventures in the Magic Kingdom,6/1/90,boxart/original/front/1024-1.jpg,NES
1025,Adventures of Lolo 3,8/9/91,boxart/original/front/1025-1.jpg,NES
1026,Airball,1987,boxart/original/front/1026-1.jpg,NES
1027,Al Unser Jr. Turbo Racing,1/1/89,boxart/original/front/1027-1.jpg,NES
1028,Arkista's Ring,1990,boxart/original/front/1028-1.jpg,NES
1029,Astyanax,1989,boxart/original/front/1029-1.jpg,NES
1030,Back to the Future,1989,boxart/original/front/1030-1.jpg,NES
1031,Base Wars,6/1/91,boxart/original/front/1031-1.jpg,NES
1032,Bases Loaded,6/26/87,boxart/original/front/1032-1.jpg,NES
1033,Bases Loaded 3,1991,boxart/original/front/1033-1.jpg,NES
1034,Batman: Return of the Joker,12/20/91,boxart/original/front/1034-1.jpg,NES
1036,Best of the Best: Championship Karate,12/1/92,boxart/original/front/1036-1.jpg,NES
1037,Blades of Steel,12/1/88,boxart/original/front/1037-1.jpg,NES
1038,Blaster Master,11/1/88,boxart/original/front/1038-1.jpg,NES
1039,The Blues Brothers,9/1/92,boxart/original/front/1039-1.jpg,NES
1040,Bomberman,1/1/89,boxart/original/front/1040-1.jpg,NES
1041,Boulder Dash,6/1/90,boxart/original/front/1041-1.jpg,NES
1042,A Boy and His Blob: Trouble on Blobolonia,12/1/89,boxart/original/front/1042-1.jpg,NES
1043,Bubble Bobble: Part 2,3/5/93,boxart/original/front/1043-1.png,NES
1044,Bucky O'Hare,1/31/92,boxart/original/front/1044-1.jpg,NES
1045,Bump 'n' Jump,12/1/82,boxart/original/front/1045-1.jpg,NES
1048,The Addams Family,1992,boxart/original/front/1048-1.jpg,NES
1145,Monopoly,5/1/91,boxart/original/front/1145-2.jpg,NES
1242,Captain Skyhawk,1990,boxart/original/front/1242-1.jpg,NES
1243,Castelian,5/1/91,boxart/original/front/1243-1.jpg,NES
1244,Castle of Dragon,6/1/90,boxart/original/front/1244-1.jpg,NES
1245,Castlequest,9/1/89,boxart/original/front/1245-1.jpg,NES
1246,Championship Bowling,12/1/89,boxart/original/front/1246-1.jpg,NES
1247,Chiller,1990,boxart/original/front/1247-1.jpg,NES
1248,Chip 'N Dale Rescue Rangers,6/1/90,boxart/original/front/1248-2.jpg,NES
1249,Chip 'N Dale Rescue Rangers 2,1/1/93,boxart/original/front/1249-1.jpg,NES
1250,Clash at Demonhead,1/27/89,boxart/original/front/1250-1.jpg,NES
1256,Code Name: Viper,2/23/90,boxart/original/front/1256-1.jpg,NES
1257,Conquest of the Crystal Palace,8/24/90,boxart/original/front/1257-1.jpg,NES
1258,Contra,2/2/88,boxart/original/front/1258-1.jpg,NES
1259,Contra Force,9/30/92,boxart/original/front/1259-1.jpg,NES
1261,Disney's Darkwing Duck,6/1/92,boxart/original/front/1261-1.jpg,NES
1262,Deadly Towers,12/15/86,boxart/original/front/1262-1.jpg,NES
1263,Defender of the Crown,1986,boxart/original/front/1263-1.jpg,NES
1264,Defenders of Dynatron City,8/1/92,boxart/original/front/1264-1.jpg,NES
1265,Deja Vu,11/2/90,boxart/original/front/1265-1.jpg,NES
1266,Demon Sword,1/1/90,boxart/original/front/1266-1.jpg,NES
1267,Destiny of an Emperor,5/15/89,boxart/original/front/1267-1.jpg,NES
1268,Dig Dug II: Trouble in Paradise,1985,boxart/original/front/1268-1.jpg,NES
1269,Donkey Kong 3,7/4/84,boxart/original/front/1269-1.jpg,NES
1270,Donkey Kong Jr.,7/15/87,boxart/original/front/1270-1.jpg,NES
1271,Double Dragon III: The Sacred Stones,11/1/90,boxart/original/front/1271-1.jpg,NES
1272,Dr. Jekyll and Mr. Hyde,4/8/88,boxart/original/front/1272-1.jpg,NES
1273,Dragon Spirit: The New Legend,6/1/90,boxart/original/front/1273-1.jpg,NES
1274,Dragon Warrior II,9/1/90,boxart/original/front/1274-1.jpg,NES
1275,Dragon Warrior IV,10/12/92,boxart/original/front/1275-1.jpg,NES
1276,DuckTales,9/14/89,boxart/original/front/1276-1.jpg,NES
1277,Dudes with Attitude,1990,boxart/original/front/1277-1.jpg,NES
1278,StarTropics II: Zoda's Revenge,3/1/94,boxart/original/front/1278-1.jpg,NES
1279,Yoshi,12/14/91,boxart/original/front/1279-1.jpg,NES
1280,Xevious: The Avenger,9/1/88,boxart/original/front/1280-1.jpg,NES
1281,Xexyz,8/26/88,boxart/original/front/1281-1.jpg,NES
1282,Faria: A World of Mystery and Danger!,7/21/89,boxart/original/front/1282-1.jpg,NES
1283,Faxanadu,11/17/87,boxart/original/front/1283-1.jpg,NES
1284,Fester's Quest,9/13/89,boxart/original/front/1284-1.jpg,NES
1287,Fist of the North Star,4/17/87,boxart/original/front/1287-1.jpg,NES
1288,The Flintstones: The Rescue of Dino & Hoppy,8/7/92,boxart/original/front/1288-1.jpg,NES
1289,Friday the 13th,2/10/89,boxart/original/front/1289-1.jpg,NES
1291,Gauntlet,1/1/87,boxart/original/front/1291-1.jpg,NES
1293,The Adventures of Gilligan's Island,7/1/90,boxart/original/front/1293-1.jpg,NES
1294,Goal!,12/22/88,boxart/original/front/1294-1.jpg,NES
1295,Golgo 13: Top Secret Episode,3/26/88,boxart/original/front/1295-1.jpg,NES
1296,The Goonies II,3/18/87,boxart/original/front/1296-1.jpg,NES
1297,Gradius,5/29/85,boxart/original/front/1297-1.jpg,NES
1298,The Guardian Legend,2/5/88,boxart/original/front/1298-1.jpg,NES
1299,Guerrilla War,6/1/89,boxart/original/front/1299-1.jpg,NES
1300,Gun.Smoke,1985,boxart/original/front/1300-1.jpg,NES
1301,Gyromite,8/13/85,boxart/original/front/1301-1.jpg,NES
1302,Gyruss,2/1/89,boxart/original/front/1302-1.jpg,NES
1304,River City Ransom,4/25/89,boxart/original/front/1304-1.jpg,NES
