id,GameTitle,ReleaseDate,thumb,Platform
16818,Driver: Renegade,9/6/11,boxart/original/front/16818-1.jpg,3DS
41818,Rayman and Rabbids Family Pack,10/3/14,boxart/original/front/41818-1.jpg,3DS
16980,Gem Smashers,11/8/11,boxart/original/front/16980-1.jpg,3DS
13305,Tetris Axis,10/2/11,boxart/original/front/13305-1.jpg,3DS
13307,Spirit Camera: The Cursed Memoir,4/13/12,boxart/original/front/13307-2.jpg,3DS
13308,Paws & Claws Pampered Pets Resort 3D,3/20/12,boxart/original/front/13308-1.jpg,3DS
49602,Stella Glow Launch Edition,11/17/15,,3DS
8715,Harvest Moon: The Tale of Two Towns,10/11/11,boxart/original/front/8715-1.jpg,3DS
12598,Kid Icarus: Uprising,3/23/12,boxart/original/front/12598-1.jpg,3DS
10605,Super Mario 3D Land,11/13/11,boxart/original/front/10605-1.jpg,3DS
10864,Castlevania: Lords of Shadow - Mirror of Fate,3/5/13,boxart/original/front/10864-1.jpg,3DS
16398,Pokémon Mystery Dungeon: Gates to Infinity,3/24/13,boxart/original/front/16398-1.jpg,3DS
12014,Kingdom Hearts 3D: Dream Drop Distance,7/31/12,boxart/original/front/12014-1.jpg,3DS
12082,Cave Story 3D,11/8/11,boxart/original/front/12082-1.jpg,3DS
12090,Skylanders Giants,10/21/12,boxart/original/front/12090-1.jpg,3DS
48495,Lego Ninjago Shadow of Ronin,,boxart/original/front/48495-1.jpg,3DS
48496,Skylanders: Swap Force,,boxart/original/front/48496-1.jpg,3DS
48497,Frozen: Olaf's Quest,,boxart/original/front/48497-1.jpg,3DS
48498,Teenage Mutant Ninja Turtles: Master Splinter's Training Pack,,boxart/original/front/48498-1.jpg,3DS
12599,Pilotwings Resort,3/27/11,boxart/original/front/12599-1.jpg,3DS
12504,New Super Mario Bros. 2,7/28/12,boxart/original/front/12504-1.jpg,3DS
12505,Professor Layton and the Miracle Mask,10/28/12,boxart/original/front/12505-1.jpg,3DS
12584,Rhythm Thief & the Emperor's Treasure,7/10/12,boxart/original/front/12584-1.jpg,3DS
12585,Theatrhythm Final Fantasy,7/6/12,boxart/original/front/12585-1.jpg,3DS
12686,Star Fox 64 3D,9/9/11,boxart/original/front/12686-1.jpg,3DS
12691,Mario Tennis Open,5/20/12,boxart/original/front/12691-1.jpg,3DS
12692,Resident Evil: Revelations,2/7/12,boxart/original/front/12692-1.png,3DS
12698,The Legend of Zelda: Ocarina of Time 3D,6/19/11,boxart/original/front/12698-1.jpg,3DS
12707,Paper Mario: Sticker Star,11/11/12,boxart/original/front/12707-1.jpg,3DS
12712,Bust-A-Move Universe,3/27/11,boxart/original/front/12712-1.jpg,3DS
12715,Rayman Origins,11/6/12,boxart/original/front/12715-1.jpg,3DS
12717,Code of Princess,10/9/12,boxart/original/front/12717-1.jpg,3DS
12719,Shinobi,11/15/11,boxart/original/front/12719-1.jpg,3DS
12720,Rabbids Rumble,11/13/12,boxart/original/front/12720-1.jpg,3DS
12721,Rabbids Travel in Time 3D,4/10/11,boxart/original/front/12721-1.jpg,3DS
12723,Angry Birds Trilogy,9/25/12,boxart/original/front/12723-1.jpg,3DS
12725,Pokémon Rumble Blast,10/24/11,boxart/original/front/12725-1.jpg,3DS
12727,Transformers Prime: The Game,10/30/12,boxart/original/front/12727-1.jpg,3DS
12728,Heroes of Ruin,7/17/12,boxart/original/front/12728-1.jpg,3DS
12733,Mario Kart 7,12/4/11,boxart/original/front/12733-1.jpg,3DS
12775,Steel Diver,3/27/11,boxart/original/front/12775-1.jpg,3DS
12777,Rayman 3D,3/22/11,boxart/original/front/12777-1.jpg,3DS
12779,Sonic Generations,11/22/11,boxart/original/front/12779-1.jpg,3DS
12781,CRUSH3D,3/6/12,boxart/original/front/12781-1.jpg,3DS
12782,Disney Epic Mickey: The Power of Illusion,11/18/12,boxart/original/front/12782-1.jpg,3DS
12786,Super Monkey Ball 3D,3/27/11,boxart/original/front/12786-1.jpg,3DS
12788,Thor: God of Thunder,9/13/11,boxart/original/front/12788-1.jpg,3DS
12790,Captain America: Super Soldier,10/25/11,boxart/original/front/12790-1.jpg,3DS
12793,Ben 10: Omniverse,11/13/12,boxart/original/front/12793-1.jpg,3DS
12795,The Amazing Spider-Man,6/26/12,boxart/original/front/12795-1.jpg,3DS
12796,Generator Rex: Agent of Providence,11/1/11,boxart/original/front/12796-1.jpg,3DS
12798,Myst,7/27/12,boxart/original/front/12798-1.jpg,3DS
12876,Sonic & All-Stars Racing Transformed,12/11/12,boxart/original/front/12876-1.jpg,3DS
12981,Nintendogs + Cats: French Bulldog & New Friends,3/27/11,boxart/original/front/12981-1.jpg,3DS
12982,Nintendogs + Cats: Golden Retriever & New Friends,3/27/11,boxart/original/front/12982-1.jpg,3DS
12985,Nintendogs + Cats: Toy Poodle & New Friends,3/27/11,boxart/original/front/12985-1.jpg,3DS
12986,The Sims 3,3/22/11,boxart/original/front/12986-1.jpg,3DS
12991,Lalaloopsy: Carnival of Friends,9/25/12,boxart/original/front/12991-1.jpg,3DS
12992,The Sims 3: Pets,10/18/11,boxart/original/front/12992-1.jpg,3DS
12993,Zero Escape: Virtue's Last Reward,10/23/12,boxart/original/front/12993-1.jpg,3DS
12994,The Hidden,11/3/11,boxart/original/front/12994-1.jpg,3DS
12995,Rise of the Guardians,11/20/12,boxart/original/front/12995-1.jpg,3DS
12996,Madagascar 3: The Video Game,6/5/12,boxart/original/front/12996-1.jpg,3DS
12997,LEGO The Lord of the Rings,10/30/12,boxart/original/front/12997-1.jpg,3DS
12998,James Noir's Hollywood Crimes,11/1/11,boxart/original/front/12998-1.jpg,3DS
12999,Dream Trigger 3D,5/10/11,boxart/original/front/12999-1.jpg,3DS
13000,Centipede: Infestation,11/1/11,boxart/original/front/13000-1.jpg,3DS
13001,Adventure Time: Hey Ice King! Why'd You Steal Our Garbage?!!,11/20/12,boxart/original/front/13001-1.jpg,3DS
13002,LEGO Harry Potter: Years 5-7,11/11/11,boxart/original/front/13002-1.jpg,3DS
13003,Happy Feet Two,11/8/11,boxart/original/front/13003-1.jpg,3DS
13004,Scribblenauts Unlimited,11/13/12,boxart/original/front/13004-1.jpg,3DS
13085,"Freakyforms Deluxe: Your Creations, Alive!",11/5/12,boxart/original/front/13085-1.jpg,3DS
13086,Crosswords Plus,10/1/12,boxart/original/front/13086-1.jpg,3DS
13087,Art Academy: Lessons for Everyone!,10/1/12,boxart/original/front/13087-1.jpg,3DS
13142,Skylanders: Spyro's Adventure,10/16/11,boxart/original/front/13142-1.jpg,3DS
13153,Style Savvy: Trendsetters,10/22/12,boxart/original/front/13153-1.jpg,3DS
13155,RollerCoaster Tycoon 3D,10/16/12,boxart/original/front/13155-1.jpg,3DS
13156,Classic Games Overload: Card & Puzzle Edition,11/30/12,boxart/original/front/13156-1.jpg,3DS
13168,The Trash Pack,10/30/12,boxart/original/front/13168-1.jpg,3DS
13170,Bratz: Fashion Boutique,10/30/12,boxart/original/front/13170-1.jpg,3DS
13171,Wipeout 3,9/25/12,boxart/original/front/13171-1.jpg,3DS
13172,Wreck-It Ralph,10/30/12,boxart/original/front/13172-1.jpg,3DS
13173,Hello Kitty Picnic with Sanrio Friends,10/30/12,boxart/original/front/13173-1.jpg,3DS
13174,Shifting World,4/24/12,boxart/original/front/13174-1.jpg,3DS
13175,Imagine Fashion Life,10/23/12,boxart/original/front/13175-1.jpg,3DS
13176,Horses 3D,3/27/12,boxart/original/front/13176-1.jpg,3DS
13177,Imagine Babyz,10/23/12,boxart/original/front/13177-1.jpg,3DS
13179,Spy Hunter,10/9/12,boxart/original/front/13179-1.jpg,3DS
