id,GameTitle,ReleaseDate,thumb,Platform
50,Ninja Gaiden: Dragon Sword,3/25/08,boxart/original/front/50-1.jpg,DS
438,Mario & Luigi: Bowser's Inside Story,9/14/09,boxart/original/front/438-1.jpg,DS
1539,Pokémon Diamond Version,9/28/06,boxart/original/front/1539-1.jpg,DS
2245,The Legend of Zelda: Phantom Hourglass,10/7/07,boxart/original/front/2245-1.jpg,DS
2366,Pokemon Pearl Version,9/28/06,boxart/original/front/2366-1.jpg,DS
2367,Pokémon Platinum Version,9/13/08,boxart/original/front/2367-1.jpg,DS
2368,Pokémon HeartGold Version,9/12/09,boxart/original/front/2368-1.jpg,DS
2369,Pokémon SoulSilver Version,9/12/09,boxart/original/front/2369-1.jpg,DS
2370,Pokémon Black Version,3/6/11,boxart/original/front/2370-1.jpg,DS
2371,Pokémon White Version,3/6/11,boxart/original/front/2371-1.jpg,DS
2373,Pokémon Mystery Dungeon: Blue Rescue Team,9/18/06,boxart/original/front/2373-1.jpg,DS
2374,Pokémon Mystery Dungeon: Explorers of Time,4/20/08,boxart/original/front/2374-1.jpg,DS
2375,Pokémon Mystery Dungeon: Explorers of Darkness,4/20/08,boxart/original/front/2375-1.jpg,DS
2401,Mario Party DS,11/19/07,boxart/original/front/2401-1.jpg,DS
2850,Final Fantasy III,11/15/06,boxart/original/front/2850-1.jpg,DS
2935,Rayman Raving Rabbids,3/6/07,boxart/original/front/2935-1.jpg,DS
3140,Monsters vs. Aliens,3/24/09,boxart/original/front/3140-1.jpg,DS
6789,Dementium: The Ward,10/25/07,boxart/original/front/6789-1.jpg,DS
6790,Diddy Kong Racing DS,2/7/07,boxart/original/front/6790-1.jpg,DS
6791,Dig Dug: Digging Strike,10/18/05,boxart/original/front/6791-1.jpg,DS
6792,DK Jungle Climber,9/10/07,boxart/original/front/6792-1.jpg,DS
6793,Boing! Docomodake DS,3/10/09,boxart/original/front/6793-1.jpg,DS
6794,Dragon Quest IV: Chapters of the Chosen,9/16/08,boxart/original/front/6794-1.jpg,DS
6795,Dragon Quest V: Hand of the Heavenly Bride,2/17/09,boxart/original/front/6795-1.jpg,DS
6796,Elements of Destruction,12/19/07,boxart/original/front/6796-1.jpg,DS
6797,Elite Beat Agents,11/8/06,boxart/original/front/6797-1.jpg,DS
6798,Etrian Odyssey II: Heroes of Lagaard,6/17/08,boxart/original/front/6798-1.jpg,DS
6799,Feel the Magic: XY/XX,11/21/04,boxart/original/front/6799-1.jpg,DS
6800,Final Fantasy XII: Revenant Wings,11/20/07,boxart/original/front/6800-1.jpg,DS
6801,Final Fantasy Fables: Chocobo Tales,4/3/07,boxart/original/front/6801-1.jpg,DS
3948,Resident Evil: Deadly Silence,2/7/06,boxart/original/front/3948-1.jpg,DS
5475,Blood of Bahamut,8/6/09,boxart/original/front/5475-1.jpg,DS
5690,Impossible Mission,11/26/07,boxart/original/front/5690-1.jpg,DS
5767,Advance Wars: Days of Ruin,1/21/08,boxart/original/front/5767-1.jpg,DS
6570,Advance Wars: Dual Strike,8/22/05,boxart/original/front/6570-1.jpg,DS
6571,Age of Empires II: The Age of Kings,2/14/06,boxart/original/front/6571-1.jpg,DS
6572,America's Test Kitchen: Let's Get Cooking,3/28/10,boxart/original/front/6572-1.jpg,DS
6573,Animal Crossing: Wild World,12/5/05,boxart/original/front/6573-1.jpg,DS
6574,Arkanoid DS,7/17/08,boxart/original/front/6574-1.jpg,DS
6575,Asphalt Urban GT,11/21/04,boxart/original/front/6575-1.jpg,DS
6576,Avalon Code,3/10/09,boxart/original/front/6576-1.jpg,DS
6577,Bangai-O Spirits,8/12/08,boxart/original/front/6577-1.jpg,DS
6578,Battles of Prince of Persia,12/7/05,boxart/original/front/6578-1.jpg,DS
6579,Big Bang Mini,1/21/09,boxart/original/front/6579-1.jpg,DS
6580,Big Brain Academy,6/5/06,boxart/original/front/6580-1.jpg,DS
6581,Bomberman Land Touch!,11/17/06,boxart/original/front/6581-1.jpg,DS
6582,Bomberman Land Touch! 2,1/29/08,boxart/original/front/6582-1.jpg,DS
6583,Brain Age,4/16/06,boxart/original/front/6583-1.jpg,DS
6584,Brain Age 2,6/29/07,boxart/original/front/6584-1.jpg,DS
6585,Bust-a-Move DS,12/13/05,boxart/original/front/6585-1.jpg,DS
6702,Castlevania: Dawn of Sorrow,10/4/05,boxart/original/front/6702-1.jpg,DS
6704,Castlevania: Portrait of Ruin,11/16/06,boxart/original/front/6704-1.jpg,DS
6705,Chibi-Robo: Park Patrol,10/2/07,boxart/original/front/6705-1.jpg,DS
6706,Children of Mana,3/2/06,boxart/original/front/6706-1.jpg,DS
6707,Chrono Trigger,11/25/08,boxart/original/front/6707-1.jpg,DS
6709,Clubhouse Games,10/9/06,boxart/original/front/6709-1.jpg,DS
6710,Commando: Steel Disaster,5/30/08,boxart/original/front/6710-1.jpg,DS
6711,Crash Boom Bang!,10/10/06,boxart/original/front/6711-1.jpg,DS
6802,Final Fantasy Tactics A2: Grimoire of the Rift,6/24/08,boxart/original/front/6802-1.jpg,DS
6803,Fire Emblem: Shadow Dragon,2/16/09,boxart/original/front/6803-1.jpg,DS
6804,Fossil Fighters,8/10/09,boxart/original/front/6804-1.jpg,DS
6805,Geometry Wars: Galaxies,11/27/07,boxart/original/front/6805-1.jpg,DS
6806,Giana Sisters,9/6/11,boxart/original/front/6806-1.jpg,DS
6807,Godzilla: Unleashed,11/20/07,boxart/original/front/6807-1.jpg,DS
6808,GoldenEye: Rogue Agent,6/13/05,boxart/original/front/6808-1.jpg,DS
6809,Guitar Hero: On Tour,6/22/08,boxart/original/front/6809-1.jpg,DS
6810,Guitar Hero On Tour: Decades,11/16/08,boxart/original/front/6810-1.jpg,DS
6811,Guitar Hero On Tour: Modern Hits,6/9/09,boxart/original/front/6811-1.jpg,DS
6812,Hotel Dusk: Room 215,1/22/07,boxart/original/front/6812-1.jpg,DS
6813,Disney's Kim Possible: Kimmunicator,11/9/05,boxart/original/front/6813-1.jpg,DS
6814,Kirby: Canvas Curse,6/13/05,boxart/original/front/6814-1.jpg,DS
6815,Kirby: Squeak Squad,12/4/06,boxart/original/front/6815-1.jpg,DS
6816,Konami Classics Series: Arcade Hits,3/30/07,boxart/original/front/6816-1.jpg,DS
6817,The Legend of Kage 2,10/7/08,boxart/original/front/6817-1.jpg,DS
6818,The Legend of Zelda: Spirit Tracks,12/7/09,boxart/original/front/6818-1.jpg,DS
6819,Line Rider 2: Unbound,8/12/08,boxart/original/front/6819-1.jpg,DS
6820,Little Red Riding Hood's Zombie BBQ,10/31/08,boxart/original/front/6820-1.jpg,DS
6821,Lost in Blue,9/27/05,boxart/original/front/6821-1.jpg,DS
6822,Lunar Knights,2/6/07,boxart/original/front/6822-1.jpg,DS
6823,Lux-Pain,3/24/09,boxart/original/front/6823-1.jpg,DS
6833,Magical Starsign,10/23/06,boxart/original/front/6833-1.jpg,DS
6834,Magnetica,6/5/06,boxart/original/front/6834-1.jpg,DS
6835,Mario & Luigi: Partners in Time,11/28/05,boxart/original/front/6835-1.jpg,DS
6836,Mario Hoops 3-on-3,7/27/06,boxart/original/front/6836-1.jpg,DS
6837,Mario Kart DS,11/14/05,boxart/original/front/6837-1.jpg,DS
6838,Mario vs. Donkey Kong 2: March of the Minis,9/25/06,boxart/original/front/6838-1.jpg,DS
6839,Master of Illusion,11/26/07,boxart/original/front/6839-1.jpg,DS
6840,Mechanic Master,10/1/08,boxart/original/front/6840-1.jpg,DS
6841,Mega Man Star Force: Dragon,8/7/07,boxart/original/front/6841-1.jpg,DS
6842,Mega Man Star Force: Leo,8/7/07,boxart/original/front/6842-1.jpg,DS
6843,Mega Man Star Force: Pegasus,8/7/07,boxart/original/front/6843-1.jpg,DS
6844,Mega Man ZX,9/12/06,boxart/original/front/6844-1.jpg,DS
6845,Mega Man ZX Advent,10/23/07,boxart/original/front/6845-1.jpg,DS
6846,Meteos,6/27/05,boxart/original/front/6846-1.jpg,DS
6847,Meteos: Disney Magic,2/20/07,boxart/original/front/6847-1.jpg,DS
6848,Metroid Prime: Hunters,3/20/06,boxart/original/front/6848-1.jpg,DS
6849,Metroid Prime Pinball,10/24/05,boxart/original/front/6849-1.jpg,DS
6850,Monopoly / Boggle / Yahtzee / Battleship,12/13/05,boxart/original/front/6850-1.jpg,DS
6851,MX vs. ATV: Untamed,12/17/07,boxart/original/front/6851-1.jpg,DS
6852,Mystery Case Files: MillionHeir,9/8/08,boxart/original/front/6852-1.jpg,DS
6853,Nanostray,7/19/05,boxart/original/front/6853-1.jpg,DS
6854,Nanostray 2,3/11/08,boxart/original/front/6854-1.jpg,DS
6855,Napoleon Dynamite: The Game,10/23/07,boxart/original/front/6855-1.jpg,DS
6856,Naruto: Ninja Destiny,2/26/08,boxart/original/front/6856-1.jpg,DS
6857,Naruto: Path of the Ninja,10/23/07,boxart/original/front/6857-1.jpg,DS
6858,Neves,11/6/07,boxart/original/front/6858-1.jpg,DS
6859,New Super Mario Bros.,5/15/06,boxart/original/front/6859-1.jpg,DS
6860,Nintendogs: Best Friends,10/27/05,boxart/original/front/6860-1.jpg,DS
6861,Orcs & Elves,11/13/07,boxart/original/front/6861-1.jpg,DS
6862,Panzer Tactics DS,11/6/07,boxart/original/front/6862-1.jpg,DS
6863,Personal Trainer: Cooking,11/24/08,boxart/original/front/6863-1.jpg,DS
6864,Peter Jackson's King Kong: The Official Game of the Movie,11/22/05,boxart/original/front/6864-1.jpg,DS
6865,Phoenix Wright: Ace Attorney,10/11/05,boxart/original/front/6865-1.jpg,DS
6866,Phoenix Wright: Ace Attorney: Justice for All,1/16/07,boxart/original/front/6866-1.jpg,DS
6867,Phoenix Wright: Ace Attorney: Trials and Tribulations,10/23/07,boxart/original/front/6867-1.jpg,DS
6868,Point Blank DS,6/16/06,boxart/original/front/6868-1.jpg,DS
6869,Professor Layton and the Curious Village,2/11/08,boxart/original/front/6869-1.jpg,DS
6870,Puyo Pop Fever,5/3/05,boxart/original/front/6870-1.jpg,DS
6871,Puzzler Collection,8/5/08,boxart/original/front/6871-1.jpg,DS
6872,Retro Atari Classics,3/14/05,boxart/original/front/6872-1.jpg,DS
6873,Retro Game Challenge,2/10/09,boxart/original/front/6873-1.jpg,DS
6874,Ridge Racer DS,12/7/04,boxart/original/front/6874-1.jpg,DS
6875,Scurge: Hive,10/24/06,boxart/original/front/6875-1.jpg,DS
6876,Sid Meier's Civilization Revolution,7/8/08,boxart/original/front/6876-1.jpg,DS
6877,WWE SmackDown vs. Raw 2008,11/13/07,boxart/original/front/6877-1.jpg,DS
6878,SBK: Snowboard Kids,11/22/05,boxart/original/front/6878-1.jpg,DS
6879,Sonic Rush,11/15/05,boxart/original/front/6879-1.jpg,DS
6880,Space Invaders Extreme,6/17/08,boxart/original/front/6880-1.jpg,DS
6881,Spectrobes,11/6/07,boxart/original/front/6881-1.jpg,DS
6882,Spider-Man: Web of Shadows,10/21/08,boxart/original/front/6882-1.jpg,DS
6883,Sprung,12/8/04,boxart/original/front/6883-1.jpg,DS
6884,Star Trek: Tactical Assault,10/26/06,boxart/original/front/6884-1.jpg,DS
6885,Star Wars: Episode III - Revenge of the Sith,5/4/05,boxart/original/front/6885-1.jpg,DS
6886,Super Mario 64 DS,11/21/04,boxart/original/front/6886-1.jpg,DS
6887,Super Princess Peach,2/27/06,boxart/original/front/6887-1.jpg,DS
6888,Tetris DS,3/20/06,boxart/original/front/6888-1.jpg,DS
6889,The Legendary Starfy,6/7/09,boxart/original/front/6889-1.jpg,DS
6890,The World Ends with You,7/26/07,boxart/original/front/6890-1.jpg,DS
6891,Tony Hawk's American Sk8land,11/15/05,boxart/original/front/6891-1.jpg,DS
6892,TouchMaster,12/7/10,boxart/original/front/6892-1.jpg,DS
6893,Touch the Dead,5/15/07,boxart/original/front/6893-1.jpg,DS
6894,Trace Memory,2/24/05,boxart/original/front/6894-1.jpg,DS
6895,Transformers: Autobots,6/19/07,boxart/original/front/6895-1.jpg,DS
6896,Trauma Center: Under the Knife,10/4/05,boxart/original/front/6896-1.jpg,DS
6897,Ultimate Mortal Kombat,11/12/07,boxart/original/front/6897-1.jpg,DS
6898,The Urbz: Sims in the City,11/21/04,boxart/original/front/6898-1.jpg,DS
6899,Viewtiful Joe: Double Trouble!,11/15/05,boxart/original/front/6899-1.jpg,DS
6900,Viva Piñata: Pocket Paradise,9/8/08,boxart/original/front/6900-1.jpg,DS
6901,WALL-E,6/24/08,boxart/original/front/6901-1.jpg,DS
6903,WarioWare: Touched!,2/14/05,boxart/original/front/6903-1.jpg,DS
6904,WarioWare D.I.Y.,3/28/10,boxart/original/front/6904-1.jpg,DS
