id,GameTitle,ReleaseDate,thumb,Platform
1,Halo: Combat Evolved,11/15/01,boxart/original/front/1-1.jpg,PC
2,Crysis,11/13/07,boxart/original/front/2-1.jpg,PC
16833,Alien Shooter,9/15/03,boxart/original/front/16833-1.jpg,PC
9064,Shank 2,2/7/12,boxart/original/front/9064-1.jpg,PC
9,Halo 2,5/31/07,boxart/original/front/9-2.jpg,PC
12,Assassin's Creed,4/9/08,boxart/original/front/12-1.jpg,PC
13,BioShock,8/21/07,boxart/original/front/13-1.jpg,PC
14,Dead Space,10/14/08,boxart/original/front/14-2.jpg,PC
18,Driver: Parallel Lines,6/26/07,boxart/original/front/18-1.jpg,PC
22,Left 4 Dead,11/17/08,boxart/original/front/22-1.jpg,PC
23,Gears of War,11/7/06,boxart/original/front/23-1.jpg,PC
28,Race Driver: Grid,5/30/08,boxart/original/front/28-1.jpg,PC
29,Grand Theft Auto IV,12/2/08,boxart/original/front/29-1.jpg,PC
30,Guild Wars,4/26/05,boxart/original/front/30-1.jpg,PC
48580,Helium Rain,8/18/17,boxart/original/front/48580-1.jpg,PC
47,Need for Speed: ProStreet,11/13/07,boxart/original/front/47-1.jpg,PC
53,Prince of Persia (2008),12/9/08,boxart/original/front/53-2.jpg,PC
54,Tom Clancy's Rainbow Six: Vegas,11/22/06,boxart/original/front/54-1.jpg,PC
55,Command & Conquer: Red Alert 3,10/28/08,boxart/original/front/55-1.jpg,PC
57,Resident Evil 5,9/15/09,boxart/original/front/57-2.jpg,PC
61,Sam & Max Hit the Road,11/1/93,boxart/original/front/61-2.jpg,PC
62,Shaun White Snowboarding,12/3/08,boxart/original/front/62-1.jpg,PC
63,Sonic Riders,11/17/06,boxart/original/front/63-1.jpg,PC
64,Tom Clancy's Splinter Cell,11/19/02,boxart/original/front/64-1.jpg,PC
65,Tabula Rasa,10/30/07,boxart/original/front/65-1.jpg,PC
66,Tomb Raider (1996),11/22/96,boxart/original/front/66-1.jpg,PC
67,Tomb Raider: Underworld,11/21/08,boxart/original/front/67-2.jpg,PC
73,Age of Conan: Hyborian Adventures,5/20/08,boxart/original/front/73-1.jpg,PC
74,Aliens: Colonial Marines,2/12/13,boxart/original/front/74-1.jpg,PC
75,Alone in the Dark,6/23/08,boxart/original/front/75-1.jpg,PC
77,Burnout Paradise,1/22/08,boxart/original/front/77-1.jpg,PC
78,Clive Barker's Jericho,10/23/07,boxart/original/front/78-1.jpg,PC
79,Command & Conquer 3: Kane's Wrath,3/28/08,boxart/original/front/79-1.jpg,PC
80,Command & Conquer 3: Tiberium Wars,3/28/07,boxart/original/front/80-1.jpg,PC
84,Empire Earth III,11/6/07,boxart/original/front/84-1.jpg,PC
85,Enemy Territory: Quake Wars,9/27/07,boxart/original/front/85-1.jpg,PC
86,Fallout 3,10/28/08,boxart/original/front/86-1.jpg,PC
91,Iron Man,5/6/08,boxart/original/front/91-1.jpg,PC
92,Medal of Honor: Airborne,9/14/07,boxart/original/front/92-2.jpg,PC
96,Prototype,6/9/09,boxart/original/front/96-2.jpg,PC
101,S.T.A.L.K.E.R.: Clear Sky,9/5/08,boxart/original/front/101-2.jpg,PC
102,Star Wars: The Force Unleashed,11/30/09,boxart/original/front/102-1.jpg,PC
103,Street Fighter IV,7/18/08,boxart/original/front/103-2.jpg,PC
105,Wheelman,3/24/09,boxart/original/front/105-1.jpg,PC
106,Tom Clancy's Rainbow Six: Vegas 2,3/18/08,boxart/original/front/106-1.jpg,PC
107,Transformers: The Game,6/26/07,boxart/original/front/107-1.jpg,PC
110,Warhammer: Mark of Chaos,11/14/06,boxart/original/front/110-1.jpg,PC
111,"Warhammer 40,000: Dawn of War II",2/18/09,boxart/original/front/111-1.jpg,PC
124,Worms,11/29/95,boxart/original/front/124-1.png,PC
5724,Race 07,10/9/07,boxart/original/front/5724-1.jpg,PC
