id,GameTitle,ReleaseDate,thumb,Platform
11555,007: Tomorrow Never Dies,11/16/99,boxart/original/front/11555-1.jpg,PS
196,Metal Gear Solid,9/3/98,boxart/original/front/196-2.jpg,PS
53452,Pet in TV,,boxart/original/front/53452-1.jpg,PS
13366,Walt Disney World Quest Magical Racing Tour,3/23/00,boxart/original/front/13366-1.jpg,PS
32206,Bust-A-Move 3 DX,2/28/99,boxart/original/front/32206-1.jpg,PS
491,100 Percent Star,12/7/01,boxart/original/front/491-1.jpg,PS
492,Actua Golf 3,1/1/99,boxart/original/front/492-1.jpg,PS
493,Akuji the Heartless,12/31/98,boxart/original/front/493-1.jpg,PS
494,Alone in the Dark: The New Nightmare,6/18/01,boxart/original/front/494-1.jpg,PS
495,Alundra,12/31/97,boxart/original/front/495-1.png,PS
496,Aqua GT,1/26/01,boxart/original/front/496-1.jpg,PS
497,Army Men: Air Attack,10/13/99,boxart/original/front/497-1.jpg,PS
498,Asterix: The Gallic War,9/1/00,boxart/original/front/498-1.png,PS
499,A-Train,1/1/96,boxart/original/front/499-1.jpg,PS
500,Ball Breakers,7/26/00,boxart/original/front/500-1.jpg,PS
501,King's Field (Japan),12/16/94,boxart/original/front/501-1.jpg,PS
502,Beyond the Beyond,8/31/96,boxart/original/front/502-1.jpg,PS
503,Big Air,2/28/99,boxart/original/front/503-1.jpg,PS
504,Black Dawn,9/30/96,boxart/original/front/504-1.jpg,PS
505,BRAHMA Force: The Assault on Beltlogger 9,3/31/97,boxart/original/front/505-1.jpg,PS
506,Breath of Fire III,9/11/97,boxart/original/front/506-1.jpg,PS
507,Breath of Fire IV,4/27/00,boxart/original/front/507-1.png,PS
508,Brigandine: The Legend of Forsena,4/2/98,boxart/original/front/508-1.jpg,PS
509,Bust-A-Move 4,1/31/00,boxart/original/front/509-1.jpg,PS
510,Casper,8/1/96,boxart/original/front/510-1.jpg,PS
511,Castlevania: Symphony of the Night,3/20/97,boxart/original/front/511-1.jpg,PS
512,Championship Bass,2/29/00,boxart/original/front/512-1.jpg,PS
513,Chocobo's Dungeon 2,11/30/99,boxart/original/front/513-1.jpg,PS
514,Cool Boarders 2,10/31/97,boxart/original/front/514-1.jpg,PS
515,Crash Bandicoot 3: Warped,10/31/98,boxart/original/front/515-1.jpg,PS
19534,The Lion King: Simba′s Mighty Adventure,11/16/00,boxart/original/front/19534-1.jpg,PS
19535,Umihara Kawase Shun,2/28/97,boxart/original/front/19535-1.jpg,PS
516,Crusader: No Remorse,12/31/96,boxart/original/front/516-1.jpg,PS
517,Danger Girl,9/14/00,boxart/original/front/517-1.jpg,PS
518,Destrega,1/31/99,boxart/original/front/518-1.jpg,PS
519,Die Hard Trilogy,8/20/96,boxart/original/front/519-1.jpg,PS
520,Digimon World,5/23/00,boxart/original/front/520-1.jpg,PS
521,Driver 2,11/13/00,boxart/original/front/521-2.jpg,PS
522,Sesame Street: Elmo's Number Journey,10/16/98,boxart/original/front/522-1.jpg,PS
523,Evil Zone,5/31/99,boxart/original/front/523-1.jpg,PS
524,Fighting Force 2,11/30/99,boxart/original/front/524-1.jpg,PS
525,Final Fantasy VII,6/1/97,boxart/original/front/525-1.jpg,PS
526,Final Fantasy VIII,2/11/99,boxart/original/front/526-1.jpg,PS
527,Final Fantasy IX,11/13/00,boxart/original/front/527-1.jpg,PS
528,Final Fantasy Anthology,10/5/99,boxart/original/front/528-1.jpg,PS
529,Formula One 99,10/31/99,boxart/original/front/529-2.jpg,PS
530,Front Mission 3,2/29/00,boxart/original/front/530-1.jpg,PS
531,Galerians,3/29/00,boxart/original/front/531-1.jpg,PS
532,G-Police,10/15/97,boxart/original/front/532-1.jpg,PS
553,Hoshigami: Ruining Blue Earth,12/20/01,boxart/original/front/553-1.jpg,PS
554,Iron & Blood: Warriors of Ravenloft,10/31/96,boxart/original/front/554-1.jpg,PS
555,Kartia: The Word of Fate,7/31/98,boxart/original/front/555-1.jpg,PS
556,King's Field II,10/31/96,boxart/original/front/556-1.jpg,PS
557,Klonoa Beach Volleyball,4/25/02,boxart/original/front/557-1.jpg,PS
558,Klonoa: Door to Phantomile,3/10/97,boxart/original/front/558-2.jpg,PS
559,Legacy of Kain: Soul Reaver,8/16/99,boxart/original/front/559-1.jpg,PS
560,Legend of Mana,6/7/00,boxart/original/front/560-1.png,PS
561,Lethal Enforcers I & II,1/1/97,boxart/original/front/561-1.jpg,PS
562,Marvel Super Heroes,1/1/97,boxart/original/front/562-1.jpg,PS
563,Mass Destruction,9/30/97,boxart/original/front/563-1.jpg,PS
564,MDK,11/30/98,boxart/original/front/564-1.jpg,PS
565,Mega Man 8,12/17/96,boxart/original/front/565-1.jpg,PS
566,Mega Man Legends,8/31/98,boxart/original/front/566-1.jpg,PS
567,Mega Man X4,8/10/97,boxart/original/front/567-1.jpg,PS
568,Mega Man Battle & Chase,11/30/98,boxart/original/front/568-1.jpg,PS
28389,The Pro Wrestling,9/19/99,boxart/original/front/28389-1.jpg,PS
569,MLB 2000,2/28/99,boxart/original/front/569-1.jpg,PS
570,Monkey Magic,11/27/97,boxart/original/front/570-1.jpg,PS
571,Monsterseed,3/31/99,boxart/original/front/571-1.jpg,PS
572,NASCAR 99,9/30/96,boxart/original/front/572-1.jpg,PS
573,NASCAR Racing,9/30/96,boxart/original/front/573-1.jpg,PS
574,NBA Basketball 2000,10/31/99,boxart/original/front/574-1.jpg,PS
575,NBA In The Zone 2,11/30/96,boxart/original/front/575-1.jpg,PS
576,NBA Live 98,11/30/97,boxart/original/front/576-1.jpg,PS
577,NBA Live 99,10/31/98,boxart/original/front/577-1.jpg,PS
578,NBA Live 2000,10/28/99,boxart/original/front/578-1.jpg,PS
579,NBA Showtime: NBA on NBC,10/31/99,boxart/original/front/579-1.jpg,PS
580,The Next Tetris,5/31/99,boxart/original/front/580-1.jpg,PS
582,NFL Blitz 2001,9/14/00,boxart/original/front/582-1.jpg,PS
583,NFL GameDay 99,7/31/98,boxart/original/front/583-1.jpg,PS
584,NFL Game Day 97,11/1/96,boxart/original/front/584-1.jpg,PS
585,NFL GameDay 98,7/31/97,boxart/original/front/585-1.jpg,PS
586,NFL Game Day 2005,8/1/04,boxart/original/front/586-1.jpg,PS
587,No One Can Stop Mr. Domino,10/31/98,boxart/original/front/587-1.jpg,PS
588,Omega Boost,4/22/99,boxart/original/front/588-1.jpg,PS
589,Pandemonium!,10/31/96,boxart/original/front/589-1.jpg,PS
590,Parasite Eve,9/9/98,boxart/original/front/590-1.png,PS
591,Revelations: Persona,10/25/97,boxart/original/front/591-1.jpg,PS
592,Persona 2: Eternal Punishment,12/22/00,boxart/original/front/592-1.jpg,PS
593,PGA Tour 97,9/30/96,boxart/original/front/593-1.jpg,PS
594,Point Blank 2,4/30/99,boxart/original/front/594-1.jpg,PS
595,Pong: The Next Level,11/1/99,boxart/original/front/595-1.jpg,PS
596,PO'ed,11/17/97,boxart/original/front/596-1.jpg,PS
597,Powerslave,2/28/97,boxart/original/front/597-1.jpg,PS
598,Professional Underground League of Pain,2/28/97,boxart/original/front/598-1.jpg,PS
599,R4: Ridge Racer Type 4,5/4/99,boxart/original/front/599-1.jpg,PS
600,Tom Clancy's Rainbow Six: Rogue Spear,8/31/99,boxart/original/front/600-1.jpg,PS
601,Rampage 2: Universal Tour,3/1/99,boxart/original/front/601-1.jpg,PS
602,RayCrisis: Series Termination,10/25/00,boxart/original/front/602-1.jpg,PS
603,Re-Loaded: The Hardcore Sequel,12/1/96,boxart/original/front/603-1.jpg,PS
604,Rhapsody: A Musical Adventure,7/3/00,boxart/original/front/604-1.png,PS
39057,Overblood 2,4/13/01,boxart/original/front/39057-1.jpg,PS
605,Rugrats in Paris: The Movie,10/29/00,boxart/original/front/605-1.jpg,PS
606,SaGa Frontier 2,4/1/99,boxart/original/front/606-1.jpg,PS
608,Sled Storm,7/31/99,boxart/original/front/608-1.jpg,PS
609,SnoCross Championship Racing,8/22/00,boxart/original/front/609-1.jpg,PS
610,Spider: The Video Game,2/26/97,boxart/original/front/610-1.jpg,PS
612,Street Sk8er 2,2/29/00,boxart/original/front/612-1.jpg,PS
613,Starwinder,10/31/96,boxart/original/front/613-1.jpg,PS
614,Street Fighter Collection,12/16/97,boxart/original/front/614-1.jpg,PS
615,Suikoden II,8/31/99,boxart/original/front/615-1.png,PS
616,Super Puzzle Fighter II Turbo,11/30/96,boxart/original/front/616-1.jpg,PS
617,Tactics Ogre: Ogre Battle Series,1/1/98,boxart/original/front/617-1.jpg,PS
618,Time Crisis,10/31/97,boxart/original/front/618-1.jpg,PS
619,Tomb Raider II,10/31/97,boxart/original/front/619-1.jpg,PS
620,Uprising-X,11/30/98,boxart/original/front/620-1.jpg,PS
621,Vandal Hearts,6/1/97,boxart/original/front/621-1.jpg,PS
622,Warhammer: Shadow of the Horned Rat,11/1/96,boxart/original/front/622-1.jpg,PS
623,Warriors of Might and Magic,2/7/01,boxart/original/front/623-1.jpg,PS
624,Wayne Gretzky's 3D Hockey '98,12/26/97,boxart/original/front/624-1.jpg,PS
625,Wipeout XL,9/30/96,boxart/original/front/625-1.jpg,PS
626,WWF War Zone,7/1/98,boxart/original/front/626-1.png,PS
32196,Zen Nippon Joshi Pro Wrestling: Legendary Queen - Tournament of Dreams,7/23/98,boxart/original/front/32196-1.jpg,PS
