id,GameTitle,ReleaseDate,thumb,Platform
48362,Super Robot Wars V,2/23/17,boxart/original/front/48362-1.jpg,PSV
38555,Saturday Morning RPG,1/29/16,boxart/original/front/38555-1.jpg,PSV
38556,Soldner-X 2: Final Prototype,7/29/16,boxart/original/front/38556-1.png,PSV
20566,Borderlands 2,5/13/14,boxart/original/front/20566-1.png,PSV
47987,Tokyo Xanadu,9/30/15,boxart/original/front/47987-1.jpg,PSV
36022,The Amazing Spider-Man,11/19/13,boxart/original/front/36022-1.jpg,PSV
3924,Wipeout 2048,2/13/12,boxart/original/front/3924-1.jpg,PSV
52708,Hatoful Boyfriend,7/21/15,boxart/original/front/52708-1.jpg,PSV
25104,hToL#NiQ: The Firefly Diary,2/24/15,boxart/original/front/25104-1.jpg,PSV
50157,Uppers,,boxart/original/front/50157-1.jpg,PSV
8330,Gravity Rush,6/12/12,boxart/original/front/8330-1.jpg,PSV
34674,Atelier Escha & Logy Plus: Alchemist of Dusk Sky,1/19/16,boxart/original/front/34674-1.jpg,PSV
25552,LEGO Ninjago: Shadow of Ronin,3/24/15,boxart/original/front/25552-1.jpg,PSV
9238,Little Deviants,2/15/12,boxart/original/front/9238-1.jpg,PSV
9239,ModNation Racers: Road Trip,2/15/12,boxart/original/front/9239-1.jpg,PSV
9240,Rayman Origins,2/14/12,boxart/original/front/9240-1.jpg,PSV
9241,Uncharted: Golden Abyss,2/13/12,boxart/original/front/9241-1.jpg,PSV
40432,Kangokutou Mary Skelter,10/13/16,boxart/original/front/40432-1.jpg,PSV
10784,Mortal Kombat,5/1/12,boxart/original/front/10784-1.jpg,PSV
13279,Dynasty Warriors Next,2/22/12,boxart/original/front/13279-1.jpg,PSV
13280,Madden NFL 13,8/28/12,boxart/original/front/13280-2.jpg,PSV
13281,FIFA Soccer 13,9/25/12,boxart/original/front/13281-1.jpg,PSV
13282,FIFA Soccer,2/14/12,boxart/original/front/13282-1.jpg,PSV
13283,Street Fighter X Tekken,10/23/12,boxart/original/front/13283-1.jpg,PSV
11741,Escape Plan,2/21/12,boxart/original/front/11741-1.jpg,PSV
11746,Ragnarok Odyssey,10/30/12,boxart/original/front/11746-2.jpg,PSV
11974,Metal Gear Solid HD Collection,6/12/12,boxart/original/front/11974-1.jpg,PSV
12027,Resistance: Burning Skies,5/29/12,boxart/original/front/12027-1.jpg,PSV
12243,PlayStation All-Stars Battle Royale,11/20/12,boxart/original/front/12243-1.jpg,PSV
12392,Assassin's Creed III: Liberation,10/30/12,boxart/original/front/12392-1.jpg,PSV
12402,BlazBlue: Continuum Shift Extend,2/22/12,boxart/original/front/12402-1.jpg,PSV
12408,Disgaea 3: Absence of Detention,4/20/12,boxart/original/front/12408-1.jpg,PSV
12425,Lumines: Electronic Symphony,2/22/12,boxart/original/front/12425-1.jpg,PSV
12429,Ninja Gaiden Sigma Plus,2/22/12,boxart/original/front/12429-1.jpg,PSV
12434,Rainbow Moon,12/3/13,boxart/original/front/12434-1.jpg,PSV
12444,Shinobido 2: Revenge of Zen,2/21/12,boxart/original/front/12444-1.jpg,PSV
12446,Silent Hill: Book of Memories,10/16/12,boxart/original/front/12446-1.jpg,PSV
12451,Spy Hunter,10/9/12,boxart/original/front/12451-1.jpg,PSV
12463,Ultimate Marvel Vs. Capcom 3,2/15/12,boxart/original/front/12463-1.jpg,PSV
12549,LittleBigPlanet PS Vita,9/25/12,boxart/original/front/12549-1.jpg,PSV
12550,Zero Escape: Virtue's Last Reward,10/22/12,boxart/original/front/12550-1.jpg,PSV
12552,Army Corps of Hell,2/22/12,boxart/original/front/12552-1.jpg,PSV
12554,Persona 4 Golden,11/20/12,boxart/original/front/12554-1.jpg,PSV
12555,Dungeon Hunter: Alliance,2/14/12,boxart/original/front/12555-1.jpg,PSV
12556,Super Monkey Ball: Banana Splitz,10/23/12,boxart/original/front/12556-1.jpg,PSV
12557,Touch My Katamari,2/21/12,boxart/original/front/12557-1.jpg,PSV
12558,Unit 13,3/6/12,boxart/original/front/12558-1.jpg,PSV
12564,LEGO Batman 2: DC Super Heroes,6/19/12,boxart/original/front/12564-1.jpg,PSV
12567,LEGO The Lord of the Rings,11/13/12,boxart/original/front/12567-1.jpg,PSV
12572,Smart as...,10/23/12,boxart/original/front/12572-1.jpg,PSV
12574,Need for Speed: Most Wanted - A Criterion Game,10/30/12,boxart/original/front/12574-1.jpg,PSV
12575,Call of Duty: Black Ops Declassified,11/13/12,boxart/original/front/12575-1.jpg,PSV
12576,F1 2011,2/15/12,boxart/original/front/12576-1.jpg,PSV
12577,Hot Shots Golf: World Invitational,2/14/12,boxart/original/front/12577-1.jpg,PSV
12578,LEGO Harry Potter: Years 5-7,3/6/12,boxart/original/front/12578-1.jpg,PSV
12579,MLB 12: The Show,3/6/12,boxart/original/front/12579-1.jpg,PSV
49273,Utawarerumono: Mask of Truth,9/5/17,boxart/original/front/49273-1.jpg,PSV
12874,Sonic & All-Stars Racing Transformed,12/11/12,boxart/original/front/12874-1.jpg,PSV
48027,Nurse Love Addiction,,boxart/original/front/48027-1.jpg,PSV
48028,Drive Girls,9/8/17,boxart/original/front/48028-1.jpg,PSV
13284,Ridge Racer,3/13/12,boxart/original/front/13284-1.jpg,PSV
13285,Asphalt Injection,2/14/12,boxart/original/front/13285-1.jpg,PSV
13286,Supremacy MMA: Unrestricted,3/27/12,boxart/original/front/13286-1.jpg,PSV
13312,MLB 13: The Show,3/5/13,boxart/original/front/13312-1.jpg,PSV
13313,Ben 10: Galactic Racing,2/15/12,boxart/original/front/13313-1.jpg,PSV
13315,Virtua Tennis 4: World Tour Edition,2/14/12,boxart/original/front/13315-1.jpg,PSV
13316,Soul Sacrifice,3/30/13,boxart/original/front/13316-1.jpg,PSV
13317,Sly Cooper: Thieves in Time,2/5/13,boxart/original/front/13317-1.jpg,PSV
13319,Michael Jackson: The Experience,2/15/12,boxart/original/front/13319-1.jpg,PSV
13320,Reality Fighters,3/13/12,boxart/original/front/13320-1.jpg,PSV
13451,New Little King's Story,10/2/12,boxart/original/front/13451-1.jpg,PSV
14350,Earth Defense Force 2017 Portable,1/8/13,boxart/original/front/14350-1.jpg,PSV
14437,Phantasy Star Online 2,12/31/13,boxart/original/front/14437-1.jpg,PSV
14873,Uncharted: Fight for Fortune,12/4/12,boxart/original/front/14873-1.jpg,PSV
15444,Doctor Who: The Eternity Clock,10/9/12,boxart/original/front/15444-1.jpg,PSV
15449,Dragon's Crown,8/6/13,boxart/original/front/15449-1.jpg,PSV
15514,Ninja Gaiden Sigma 2 Plus,2/26/13,boxart/original/front/15514-1.jpg,PSV
15642,Gundam Breaker,7/31/13,boxart/original/front/15642-1.jpg,PSV
15659,Hatsune Miku: Project DIVA f,8/30/12,boxart/original/front/15659-1.jpg,PSV
15716,Jikkyou Powerful Pro Yakyuu 2012,7/14/12,boxart/original/front/15716-1.jpg,PSV
15719,Jikkyou Powerful Pro Yakyuu 2012 Ketteiban,12/13/12,boxart/original/front/15719-1.jpg,PSV
15802,Atelier Meruru Plus: The Apprentice of Arland,9/3/13,boxart/original/front/15802-1.jpg,PSV
