id,GameTitle,ReleaseDate,thumb,Platform
129,Sonic CD,9/23/93,boxart/original/front/129-1.jpg,SCD
132,Ecco the Dolphin,7/29/92,boxart/original/front/132-2.jpg,SCD
439,Mighty Morphin Power Rangers,1/1/95,boxart/original/front/439-1.jpg,SCD
440,Ecco: The Tides of Time,8/25/94,boxart/original/front/440-1.jpg,SCD
441,Hook,4/1/92,boxart/original/front/441-1.jpg,SCD
442,Dungeon Explorer,1/1/94,boxart/original/front/442-1.jpg,SCD
443,Flashback: The Quest for Identity,12/2/92,boxart/original/front/443-1.png,SCD
444,Racing Aces,1/1/93,boxart/original/front/444-1.jpg,SCD
445,Robo Aleste,11/27/92,boxart/original/front/445-1.jpg,SCD
737,After Burner III,4/17/92,boxart/original/front/737-1.png,SCD
738,Dragon's Lair,6/19/89,boxart/original/front/738-1.jpg,SCD
739,Sewer Shark,10/15/92,boxart/original/front/739-1.jpg,SCD
740,Star Wars: Rebel Assault,1/1/93,boxart/original/front/740-1.jpg,SCD
741,Surgical Strike,11/16/93,boxart/original/front/741-1.jpg,SCD
965,Shadow of the Beast II,6/7/94,boxart/original/front/965-1.png,SCD
1916,Genghis Khan II: Clan of the Gray Wolf,1993,boxart/original/front/1916-1.jpg,SCD
41471,Aoki Ookami to Shiroki Mejika: Genchou Hishi,9/24/93,boxart/original/front/41471-1.jpg,SCD
2577,Jaguar XJ220,1/1/93,boxart/original/front/2577-1.jpg,SCD
2578,Keio Flying Squadron,8/6/93,boxart/original/front/2578-1.jpg,SCD
2579,Vay,4/14/94,boxart/original/front/2579-1.jpg,SCD
2646,Popful Mail,2/23/95,boxart/original/front/2646-1.jpg,SCD
5087,Road Rash,1/1/93,boxart/original/front/5087-1.jpg,SCD
3893,Chuck Rock II: Son of Chuck,1/1/93,boxart/original/front/3893-1.jpg,SCD
5046,Kids on Site,1/1/94,boxart/original/front/5046-1.jpg,SCD
5047,The Lawnmower Man,4/3/94,boxart/original/front/5047-1.jpg,SCD
5048,Lethal Enforcers,1/1/93,boxart/original/front/5048-1.jpg,SCD
5049,Lethal Enforcers II: Gunfighters,11/24/94,boxart/original/front/5049-1.jpg,SCD
5050,Links: The Challenge of Golf,1/1/94,boxart/original/front/5050-1.jpg,SCD
5051,Loadstar: The Legend of Tully Bodine,1/1/94,boxart/original/front/5051-1.jpg,SCD
5052,Lords of Thunder,1/1/95,boxart/original/front/5052-1.jpg,SCD
5053,Lunar: Eternal Blue,9/15/95,boxart/original/front/5053-1.png,SCD
5054,Lunar: The Silver Star,12/1/93,boxart/original/front/5054-1.jpg,SCD
4933,3 Ninjas Kick Back,6/1/94,boxart/original/front/4933-1.jpg,SCD
4934,The Adventures of Batman & Robin,7/1/95,boxart/original/front/4934-1.jpg,SCD
4935,AH-3 Thunderstrike,1/1/93,boxart/original/front/4935-1.jpg,SCD
4936,Android Assault: The Revenge of Bari-Arm,1/1/94,boxart/original/front/4936-1.jpg,SCD
4937,A/X-101,11/30/94,boxart/original/front/4937-1.jpg,SCD
4938,Batman Returns,5/1/93,boxart/original/front/4938-1.png,SCD
4940,BattleCorps,1/1/93,boxart/original/front/4940-1.jpg,SCD
4941,BC Racers,12/1/94,boxart/original/front/4941-1.jpg,SCD
4942,Bill Walsh College Football,6/2/93,boxart/original/front/4942-1.jpg,SCD
4943,Bouncers,1/1/94,boxart/original/front/4943-1.jpg,SCD
4944,Bram Stoker's Dracula,6/10/94,boxart/original/front/4944-1.jpg,SCD
4945,Brutal: Paws of Fury,1/1/93,boxart/original/front/4945-1.jpg,SCD
4946,Cadillacs and Dinosaurs: The Second Cataclysm,1/1/94,boxart/original/front/4946-1.jpg,SCD
4947,Championship Soccer '94,1/1/94,boxart/original/front/4947-1.jpg,SCD
4948,Chuck Rock,1/1/92,boxart/original/front/4948-1.jpg,SCD
4949,Cliffhanger,12/4/93,boxart/original/front/4949-1.jpg,SCD
4950,Cobra Command,11/1/92,boxart/original/front/4950-1.jpg,SCD
4951,The Colors of Modern Rock,1/1/93,boxart/original/front/4951-1.jpg,SCD
4952,Corpse Killer,1/1/94,boxart/original/front/4952-1.jpg,SCD
4953,Crime Patrol,1/1/94,boxart/original/front/4953-1.jpg,SCD
4954,Dark Wizard,11/12/93,boxart/original/front/4954-1.jpg,SCD
4955,Demolition Man,11/15/95,boxart/original/front/4955-1.jpg,SCD
4956,Double Switch,1/1/93,boxart/original/front/4956-1.jpg,SCD
4957,Dracula Unleashed,1/1/93,boxart/original/front/4957-1.jpg,SCD
4958,Dune,1/1/93,boxart/original/front/4958-1.jpg,SCD
4959,Dungeon Master II: Skullkeep,1/1/94,boxart/original/front/4959-1.jpg,SCD
5006,Earthworm Jim: Special Edition,3/15/95,boxart/original/front/5006-1.jpg,SCD
5007,ESPN Baseball Tonight,1/1/93,boxart/original/front/5007-1.jpg,SCD
5008,ESPN National Hockey Night,1/1/94,boxart/original/front/5008-1.jpg,SCD
5009,ESPN Sunday Night NFL,1/1/93,boxart/original/front/5009-1.jpg,SCD
5010,Eternal Champions: Challenge from the Dark Side,1/1/94,boxart/original/front/5010-1.jpg,SCD
5011,Eye of the Beholder,6/29/94,boxart/original/front/5011-1.jpg,SCD
5012,Formula One World Championship: Beyond the Limit,4/24/94,boxart/original/front/5012-1.jpg,SCD
5013,Fahrenheit,1/1/95,boxart/original/front/5013-1.jpg,SCD
5014,Fatal Fury Special,1/1/93,boxart/original/front/5014-1.jpg,SCD
5015,FIFA International Soccer,1/1/94,boxart/original/front/5015-1.jpg,SCD
5016,Final Fight CD,7/1/93,boxart/original/front/5016-1.png,SCD
5017,Flink,11/11/94,boxart/original/front/5017-1.jpg,SCD
5018,Ground Zero: Texas,1/1/93,boxart/original/front/5018-1.jpg,SCD
5019,Heart of the Alien: Out of this World Parts I And II,1/1/94,boxart/original/front/5019-1.png,SCD
5020,Heimdall,1/1/94,boxart/original/front/5020-1.jpg,SCD
5021,Iron Helix,1/1/92,boxart/original/front/5021-1.jpg,SCD
5022,Jeopardy!,1/1/94,boxart/original/front/5022-1.jpg,SCD
5023,Joe Montana's NFL Football,1/1/93,boxart/original/front/5023-1.jpg,SCD
5024,Jurassic Park,1/1/93,boxart/original/front/5024-1.jpg,SCD
5055,Mad Dog II: The Lost Gold,1/1/94,boxart/original/front/5055-1.jpg,SCD
5056,Mad Dog McCree,1/1/93,boxart/original/front/5056-1.jpg,SCD
5057,INXS: Make My Video,10/15/92,boxart/original/front/5057-1.jpg,SCD
5058,Kris Kross: Make My Video,1/1/92,boxart/original/front/5058-1.jpg,SCD
5059,Marky Mark and the Funky Bunch: Make My Video,1/1/92,boxart/original/front/5059-1.jpg,SCD
5060,Mansion of Hidden Souls,12/9/93,boxart/original/front/5060-1.jpg,SCD
5061,MegaRace,1/1/94,boxart/original/front/5061-1.jpg,SCD
5062,Mickey Mania: The Timeless Adventures of Mickey Mouse,11/24/94,boxart/original/front/5062-1.png,SCD
5063,Microcosm,1/1/93,boxart/original/front/5063-1.jpg,SCD
5064,Midnight Raiders,4/1/94,boxart/original/front/5064-1.jpg,SCD
5065,Mortal Kombat,5/26/94,boxart/original/front/5065-1.jpg,SCD
5066,My Paint: The Animated Paint Program,1/1/93,boxart/original/front/5066-1.jpg,SCD
5067,NBA Jam,1/1/94,boxart/original/front/5067-1.jpg,SCD
5068,NFL Football Trivia Challenge,1/1/93,boxart/original/front/5068-1.jpg,SCD
5069,NFL's Greatest: San Francisco vs. Dallas 1978-1993,1/1/93,boxart/original/front/5069-1.jpg,SCD
5070,NHL '94,8/1/93,boxart/original/front/5070-1.jpg,SCD
5071,Night Trap,7/1/92,boxart/original/front/5071-1.jpg,SCD
5072,Novastorm,1/1/94,boxart/original/front/5072-1.jpg,SCD
5073,Panic!,1/1/94,boxart/original/front/5073-1.jpg,SCD
5074,Penn & Teller's Smoke and Mirrors,4/1/95,boxart/original/front/5074-1.jpg,SCD
5075,Pitfall: The Mayan Adventure,2/15/95,boxart/original/front/5075-1.png,SCD
5076,Power Factory Featuring C+C Music Factory,1/1/92,boxart/original/front/5076-1.jpg,SCD
5077,Power Monger,1/1/94,boxart/original/front/5077-1.jpg,SCD
5078,Prince of Persia,4/28/92,boxart/original/front/5078-1.jpg,SCD
5079,Prize Fighter,1/1/94,boxart/original/front/5079-1.jpg,SCD
5080,Puggsy,1/1/93,boxart/original/front/5080-1.jpg,SCD
5081,Radical Rex,1/1/94,boxart/original/front/5081-1.jpg,SCD
5082,RDF Global Conflict,1/1/94,boxart/original/front/5082-1.jpg,SCD
5083,Revenge of the Ninja,1/1/93,boxart/original/front/5083-1.jpg,SCD
5084,Revengers of Vengeance,1/1/94,boxart/original/front/5084-1.jpg,SCD
5085,Rise of the Dragon,1/1/93,boxart/original/front/5085-1.jpg,SCD
5086,Road Avenger,3/5/93,boxart/original/front/5086-1.png,SCD
5088,Samurai Shodown,1/1/93,boxart/original/front/5088-1.jpg,SCD
5089,The Secret of Monkey Island,1/1/92,boxart/original/front/5089-1.jpg,SCD
5090,Sherlock Holmes: Consulting Detective,1/1/92,boxart/original/front/5090-1.jpg,SCD
5091,Sherlock Holmes: Consulting Detective Vol. II,1/1/93,boxart/original/front/5091-1.jpg,SCD
5092,Shining Force CD,7/21/94,boxart/original/front/5092-1.jpg,SCD
5093,Silpheed,7/7/93,boxart/original/front/5093-1.jpg,SCD
5094,Slam City with Scottie Pippen,8/1/94,boxart/original/front/5094-1.jpg,SCD
5095,Snatcher,11/30/94,boxart/original/front/5095-1.png,SCD
5096,Sol-Feace,12/12/91,boxart/original/front/5096-1.jpg,SCD
5097,SoulStar,12/21/94,boxart/original/front/5097-1.jpg,SCD
5098,Space Ace,1/1/94,boxart/original/front/5098-1.jpg,SCD
5099,The Space Adventure,1/1/94,boxart/original/front/5099-1.jpg,SCD
5100,The Amazing Spider-Man vs. The Kingpin,11/3/93,boxart/original/front/5100-1.png,SCD
5101,StarBlade,1/1/94,boxart/original/front/5101-1.jpg,SCD
5102,Star Wars Chess,1/1/93,boxart/original/front/5102-1.jpg,SCD
5103,Stellar-Fire,1/1/93,boxart/original/front/5103-1.jpg,SCD
5104,Supreme Warrior,1/1/94,boxart/original/front/5104-1.jpg,SCD
5105,The San Diego Zoo Presents: The Animals!,8/1/93,boxart/original/front/5105-1.jpg,SCD
5106,The Masked Rider: Kamen Rider ZO,1/1/94,boxart/original/front/5106-1.jpg,SCD
5107,The Smurfs,5/5/95,boxart/original/front/5107-1.png,SCD
5108,The Terminator,3/8/93,boxart/original/front/5108-1.png,SCD
5109,Third World War,1/1/94,boxart/original/front/5109-1.jpg,SCD
5110,Time Gal,1/1/93,boxart/original/front/5110-1.jpg,SCD
5111,Tomcat Alley,1/1/94,boxart/original/front/5111-1.jpg,SCD
5112,Trivial Pursuit,1/1/93,boxart/original/front/5112-1.jpg,SCD
5113,Ultraverse Prime,1/1/94,boxart/original/front/5113-1.jpg,SCD
5114,Wheel of Fortune,1/1/94,boxart/original/front/5114-1.jpg,SCD
5115,Who Shot Johnny Rock?,1/1/94,boxart/original/front/5115-1.jpg,SCD
5116,Wild Woody,1/1/95,boxart/original/front/5116-1.jpg,SCD
5117,The Adventures of Willy Beamish,2/2/93,boxart/original/front/5117-1.jpg,SCD
5118,Wing Commander,1/1/94,boxart/original/front/5118-1.jpg,SCD
5119,Wirehead,1/1/95,boxart/original/front/5119-1.jpg,SCD
5120,Wolfchild,1/1/93,boxart/original/front/5120-1.jpg,SCD
5121,Wonder Dog,1/1/92,boxart/original/front/5121-1.png,SCD
5122,World Cup USA 94,1/1/93,boxart/original/front/5122-1.jpg,SCD
5123,WWF Rage in the Cage,12/21/93,boxart/original/front/5123-1.png,SCD
14048,Sega Classics Arcade Collection 5-in-1,1/1/94,boxart/original/front/14048-1.jpg,SCD
15798,Mary Shelley's Frankenstein,12/31/94,boxart/original/front/15798-1.jpg,SCD
31785,ESPN NBA HangTime '95,1/1/94,boxart/original/front/31785-1.jpg,SCD
19298,BlackHole Assault,10/23/92,boxart/original/front/19298-1.jpg,SCD
36016,Devastator,5/28/93,boxart/original/front/36016-1.jpg,SCD
23755,Shadowrun,2/23/96,boxart/original/front/23755-1.jpg,SCD
25432,Anett Futatabi,3/30/93,boxart/original/front/25432-1.png,SCD
25461,Earnest Evans,12/20/91,boxart/original/front/25461-1.png,SCD
26758,TimeCop (Prototype),2/28/11,boxart/original/front/26758-1.jpg,SCD
27249,Burning Fists: Force Striker,7/26/06,boxart/original/front/27249-1.jpg,SCD
27806,Ranma ½: Byakuran Aika,4/23/93,boxart/original/front/27806-1.jpg,SCD
