id,GameTitle,ReleaseDate,thumb,Platform
195,Marvel vs. Capcom: Clash of Super Heroes,3/25/99,boxart/original/front/195-1.jpg,DC
200,Ikaruga,9/5/02,boxart/original/front/200-1.jpg,DC
420,Dino Crisis,11/14/00,boxart/original/front/420-1.jpg,DC
421,Dynamite Cop,11/3/99,boxart/original/front/421-1.jpg,DC
423,Jet Grind Radio,11/1/00,boxart/original/front/423-1.jpg,DC
424,Kiss: Psycho Circus: The Nightmare Child,10/29/00,boxart/original/front/424-1.jpg,DC
425,NBA 2K1,11/1/00,boxart/original/front/425-1.jpg,DC
426,Phantasy Star Online,1/29/01,boxart/original/front/426-1.jpg,DC
428,Resident Evil Code: Veronica,2/3/00,boxart/original/front/428-1.jpg,DC
429,Samba de Amigo,10/16/00,boxart/original/front/429-1.jpg,DC
430,Shenmue,11/6/00,boxart/original/front/430-1.png,DC
431,Skies of Arcadia,11/13/00,boxart/original/front/431-1.jpg,DC
432,Sonic Adventure 2,6/19/01,boxart/original/front/432-1.jpg,DC
433,Space Channel 5,6/4/00,boxart/original/front/433-1.jpg,DC
434,Street Fighter Alpha 3,5/31/00,boxart/original/front/434-1.jpg,DC
435,Super Magnetic Neo,6/12/00,boxart/original/front/435-1.jpg,DC
436,Virtua Fighter 3tb,10/18/99,boxart/original/front/436-1.jpg,DC
2244,Marvel vs. Capcom 2,6/30/00,boxart/original/front/2244-1.jpg,DC
2252,Bangai-O,10/13/00,boxart/original/front/2252-1.jpg,DC
2253,Giga Wing 2,5/18/01,boxart/original/front/2253-2.jpg,DC
2254,Sonic Shuffle,11/13/00,boxart/original/front/2254-1.jpg,DC
2255,Spawn: In the Demon's Hand,10/1/00,boxart/original/front/2255-1.jpg,DC
4200,Q*bert,1/1/00,boxart/original/front/4200-1.jpg,DC
2410,Elemental Gimmick Gear,12/20/99,boxart/original/front/2410-1.jpg,DC
2411,Alien Front Online,8/9/01,boxart/original/front/2411-1.jpg,DC
2412,Crazy Taxi 2,5/28/01,boxart/original/front/2412-2.jpg,DC
2413,Dead or Alive 2,2/29/00,boxart/original/front/2413-1.jpg,DC
2414,Ecco the Dolphin: Defender of the Future,6/16/00,boxart/original/front/2414-1.jpg,DC
2415,Grandia II,12/6/00,boxart/original/front/2415-1.jpg,DC
2416,Sonic Adventure,12/23/98,boxart/original/front/2416-1.jpg,DC
2925,Quake III Arena,10/22/00,boxart/original/front/2925-1.jpg,DC
3652,Legacy of Kain: Soul Reaver,1/17/00,boxart/original/front/3652-1.jpg,DC
3522,Armada,10/31/99,boxart/original/front/3522-1.jpg,DC
3523,Wild Metal,2/1/00,boxart/original/front/3523-1.jpg,DC
3524,102 Dalmatians: Puppies to the Rescue,11/15/00,boxart/original/front/3524-1.jpg,DC
3575,Zombie Revenge,12/31/99,boxart/original/front/3575-1.jpg,DC
3576,Power Stone,8/31/99,boxart/original/front/3576-1.jpg,DC
3577,Power Stone 2,8/23/00,boxart/original/front/3577-2.jpg,DC
3651,Plasma Sword: Nightmare of Bilstein,3/31/00,boxart/original/front/3651-1.jpg,DC
3641,ChuChu Rocket!,2/29/00,boxart/original/front/3641-2.jpg,DC
3642,The King of Fighters: Dream Match 1999,9/30/99,boxart/original/front/3642-2.jpg,DC
3643,Nightmare Creatures II,6/9/00,boxart/original/front/3643-1.jpg,DC
3644,Evolution: The World of Sacred Device,1/17/00,boxart/original/front/3644-1.png,DC
3645,Gundam Side Story 0079: Rise From the Ashes,4/28/00,boxart/original/front/3645-1.png,DC
3646,Carrier,1/31/00,boxart/original/front/3646-1.jpg,DC
3647,Gunbird 2,10/30/00,boxart/original/front/3647-1.png,DC
3648,Mortal Kombat Gold,9/9/99,boxart/original/front/3648-1.jpg,DC
3649,Crazy Taxi,1/24/00,boxart/original/front/3649-2.jpg,DC
3650,Blue Stinger,8/31/99,boxart/original/front/3650-1.jpg,DC
3653,Cannon Spike,11/15/00,boxart/original/front/3653-1.jpg,DC
3654,The King of Fighters Evolution,10/25/01,boxart/original/front/3654-1.jpg,DC
3655,Gauntlet Legends,6/7/00,boxart/original/front/3655-1.jpg,DC
3656,Evolution 2: Far Off Promise,6/29/00,boxart/original/front/3656-1.jpg,DC
3657,Capcom vs. SNK,11/9/00,boxart/original/front/3657-2.jpg,DC
3658,Death Crimson OX,8/5/01,boxart/original/front/3658-1.png,DC
3659,Fatal Fury: Mark Of The Wolves,11/23/01,boxart/original/front/3659-1.jpg,DC
3661,JoJo's Bizarre Adventure,10/31/99,boxart/original/front/3661-1.jpg,DC
3953,NCAA College Football 2K2,8/29/01,boxart/original/front/3953-1.jpg,DC
3954,NFL 2K,9/9/99,boxart/original/front/3954-1.jpg,DC
3955,NFL 2K1,9/7/00,boxart/original/front/3955-1.jpg,DC
3956,NFL 2K2,9/19/01,boxart/original/front/3956-1.jpg,DC
3957,Rayman 2: The Great Escape,2/29/00,boxart/original/front/3957-1.jpg,DC
5894,Virtua Tennis,7/12/00,boxart/original/front/5894-1.jpg,DC
3958,Resident Evil 2,4/28/00,boxart/original/front/3958-1.jpg,DC
3959,Resident Evil 3: Nemesis,11/17/00,boxart/original/front/3959-1.jpg,DC
3960,Seaman,7/29/99,boxart/original/front/3960-1.jpg,DC
3961,The House of the Dead 2,9/9/99,boxart/original/front/3961-1.jpg,DC
4175,System Shock 2,1/1/99,boxart/original/front/4175-1.jpg,DC
8326,Spider-Man,4/20/01,boxart/original/front/8326-1.jpg,DC
8327,Sydney 2000,8/31/00,boxart/original/front/8327-1.jpg,DC
8328,Tee Off,12/31/99,boxart/original/front/8328-1.jpg,DC
4442,Tom Clancy's Rainbow Six: Rogue Spear,8/31/99,boxart/original/front/4442-1.jpg,DC
5562,Maken X,10/31/99,boxart/original/front/5562-1.jpg,DC
5563,MDK2,3/31/00,boxart/original/front/5563-1.jpg,DC
5564,Omikron: The Nomad Soul,6/22/00,boxart/original/front/5564-1.jpg,DC
5565,Ooga Booga,9/13/01,boxart/original/front/5565-1.jpg,DC
5566,Outtrigger,7/24/01,boxart/original/front/5566-1.jpg,DC
5568,Record of Lodoss War,2/26/01,boxart/original/front/5568-1.jpg,DC
7766,Daytona USA,3/13/01,boxart/original/front/7766-1.jpg,DC
7767,SoulCalibur,9/8/99,boxart/original/front/7767-1.jpg,DC
7768,Sega GT,8/28/00,boxart/original/front/7768-1.jpg,DC
7770,Starlancer,3/31/00,boxart/original/front/7770-1.jpg,DC
7771,Ultimate Fighting Championship,8/29/00,boxart/original/front/7771-1.jpg,DC
7773,Sega Rally Championship 2,10/31/99,boxart/original/front/7773-1.jpg,DC
8105,Aqua GT,12/22/00,boxart/original/front/8105-1.jpg,DC
8106,Army Men: Sarge's Heroes,10/30/00,boxart/original/front/8106-1.jpg,DC
8107,Alone in the Dark: The New Nightmare,9/24/01,boxart/original/front/8107-1.jpg,DC
8108,Atari Anniversary Edition,7/2/01,boxart/original/front/8108-1.jpg,DC
8109,Bomberman Online,11/1/01,boxart/original/front/8109-1.jpg,DC
8110,Buzz Lightyear of Star Command,11/30/00,boxart/original/front/8110-1.jpg,DC
8113,Centipede,10/31/99,boxart/original/front/8113-1.jpg,DC
8114,Chicken Run,11/13/00,boxart/original/front/8114-1.jpg,DC
8115,Confidential Mission,5/14/01,boxart/original/front/8115-1.jpg,DC
8116,Conflict Zone,12/20/01,boxart/original/front/8116-1.jpg,DC
8117,D2,8/22/00,boxart/original/front/8117-2.jpg,DC
8118,Demolition Racer: No Exit,10/23/00,boxart/original/front/8118-1.jpg,DC
8119,Deep Fighter,8/22/00,boxart/original/front/8119-1.jpg,DC
8120,Disney's Dinosaur,5/19/00,boxart/original/front/8120-1.jpg,DC
8121,Donald Duck: Goin' Quackers,12/13/00,boxart/original/front/8121-1.png,DC
36013,Love Hina: Totsuzen no Engeji Happening,9/28/00,boxart/original/front/36013-1.jpg,DC
8122,Dragon Riders: Chronicles of Pern,8/9/01,boxart/original/front/8122-1.jpg,DC
8123,Ducati World: Racing Challenge,2/13/01,boxart/original/front/8123-1.jpg,DC
8125,Draconus: Cult of the Wyrm,2/28/00,boxart/original/front/8125-1.jpg,DC
8126,Evil Dead: Hail to the King,12/17/00,boxart/original/front/8126-1.jpg,DC
8127,F1 World Grand Prix,4/24/00,boxart/original/front/8127-1.jpg,DC
8128,Fighting Force 2,11/30/99,boxart/original/front/8128-1.jpg,DC
8129,Frogger 2: Swampy's Revenge,9/30/00,boxart/original/front/8129-1.jpg,DC
8130,Floigan Bros.: Episode 1,7/30/01,boxart/original/front/8130-1.jpg,DC
8131,Fur Fighters,7/11/00,boxart/original/front/8131-1.jpg,DC
8132,Giga Wing,7/19/00,boxart/original/front/8132-1.jpg,DC
8133,Grand Theft Auto 2,4/30/00,boxart/original/front/8133-1.jpg,DC
8134,Half-Life,11/1/01,boxart/original/front/8134-1.jpg,DC
8135,Hidden & Dangerous,7/9/00,boxart/original/front/8135-1.jpg,DC
8137,Heavy Metal: Geomatrix,9/13/01,boxart/original/front/8137-1.jpg,DC
8138,Incoming,11/30/99,boxart/original/front/8138-1.jpg,DC
8139,Iron Aces,2/6/01,boxart/original/front/8139-1.jpg,DC
