id,GameTitle,ReleaseDate,thumb,Platform
5734,Astérix and the Secret Mission,1/1/93,boxart/original/front/5734-1.jpg,GG
5735,Batman Returns,1/1/92,boxart/original/front/5735-1.jpg,GG
5736,Disney's Bonkers: Wax Up!,1/1/95,boxart/original/front/5736-1.jpg,GG
5737,Chakan,1/1/92,boxart/original/front/5737-1.jpg,GG
5738,Columns,4/26/91,boxart/original/front/5738-1.jpg,GG
5739,The Lucky Dime Caper Starring Donald Duck,1/1/91,boxart/original/front/5739-1.jpg,GG
5740,Fantasy Zone,1/1/91,boxart/original/front/5740-1.jpg,GG
5741,G-LOC Air Battle,1/1/91,boxart/original/front/5741-1.jpg,GG
5742,Halley Wars,1/1/91,boxart/original/front/5742-2.jpg,GG
5743,James Pond II: Codename RoboCod,1/1/93,boxart/original/front/5743-1.jpg,GG
5744,Disney's The Jungle Book,1/1/94,boxart/original/front/5744-1.jpg,GG
5745,Land of Illusion Starring Mickey Mouse,1/1/93,boxart/original/front/5745-1.jpg,GG
5746,The Lion King,1/1/95,boxart/original/front/5746-1.jpg,GG
5747,Vampire: Master of Darkness,11/4/93,boxart/original/front/5747-1.jpg,GG
5749,Ms. Pac-Man,1/1/95,boxart/original/front/5749-1.jpg,GG
5750,Ninja Gaiden,11/1/91,boxart/original/front/5750-1.png,GG
26760,Sonic Drift,3/18/94,boxart/original/front/26760-1.png,GG
5751,OutRun,1/1/91,boxart/original/front/5751-1.jpg,GG
5752,Pengo,1/1/91,boxart/original/front/5752-1.jpg,GG
5753,Shinobi,1/1/91,boxart/original/front/5753-1.jpg,GG
5754,Sonic the Hedgehog,6/23/91,boxart/original/front/5754-1.jpg,GG
5755,Sonic the Hedgehog 2,11/17/92,boxart/original/front/5755-1.jpg,GG
5756,Space Harrier,1/1/91,boxart/original/front/5756-1.jpg,GG
5757,Star Wars,1/1/93,boxart/original/front/5757-1.jpg,GG
5758,Super Kick-Off,1/1/91,boxart/original/front/5758-1.jpg,GG
5759,Super Monaco GP,1/1/91,boxart/original/front/5759-1.jpg,GG
5760,Super Star Wars: Return of the Jedi,1/1/94,boxart/original/front/5760-1.jpg,GG
5761,Taz-Mania,1/1/94,boxart/original/front/5761-1.jpg,GG
5762,Wonder Boy,1/1/91,boxart/original/front/5762-1.jpg,GG
5763,X-Men: Gamesmaster's Legacy,10/5/95,boxart/original/front/5763-1.jpg,GG
11032,NBA Jam Tournament Edition,1/1/95,boxart/original/front/11032-1.jpg,GG
11145,Sonic Labyrinth,1/1/95,boxart/original/front/11145-2.jpg,GG
11146,Tails' Skypatrol,4/28/95,boxart/original/front/11146-1.jpg,GG
11147,Tails Adventure,11/17/95,boxart/original/front/11147-1.png,GG
11161,NBA Jam,10/20/93,boxart/original/front/11161-1.jpg,GG
11827,5 In One FunPak,1/1/94,boxart/original/front/11827-1.png,GG
11828,The Addams Family,1/1/94,boxart/original/front/11828-1.png,GG
11829,Aerial Assault,1/1/92,boxart/original/front/11829-1.jpg,GG
11830,Alien 3,1/1/94,boxart/original/front/11830-1.png,GG
11831,Alien Syndrome,1/1/92,boxart/original/front/11831-1.png,GG
11832,Andre Agassi Tennis,1/1/94,boxart/original/front/11832-1.jpg,GG
11833,Arcade Classics,1/1/96,boxart/original/front/11833-1.jpg,GG
11834,Arch Rivals,1/1/92,boxart/original/front/11834-1.png,GG
11835,Arena: Maze of Death,1/1/96,boxart/original/front/11835-1.png,GG
11836,Disney's Ariel: The Little Mermaid,1/1/92,boxart/original/front/11836-1.jpg,GG
11837,Astérix and the Great Rescue,10/28/94,boxart/original/front/11837-1.png,GG
11838,Ax Battler: A Legend of Golden Axe,1/1/91,boxart/original/front/11838-1.jpg,GG
13100,Cheese Cat-Astrophe Starring Speedy Gonzales,1/1/95,boxart/original/front/13100-1.jpg,GG
13768,Mortal Kombat,10/8/92,boxart/original/front/13768-1.jpg,GG
14070,Zoop,11/5/98,boxart/original/front/14070-1.jpg,GG
14095,George Foreman's KO Boxing,12/1/92,boxart/original/front/14095-1.jpg,GG
14105,The Majors Pro Baseball,1/1/92,boxart/original/front/14105-1.jpg,GG
14106,The Simpsons: Bart vs. the Space Mutants,1/1/91,boxart/original/front/14106-1.jpg,GG
14794,Bram Stoker's Dracula,1/1/93,boxart/original/front/14794-1.jpg,GG
14795,X-Men,1/1/94,boxart/original/front/14795-1.jpg,GG
15244,World Cup USA 94,4/5/94,boxart/original/front/15244-1.jpg,GG
15712,Joe Montana Football,8/6/91,boxart/original/front/15712-1.jpg,GG
15968,Eternal Legend,8/9/91,boxart/original/front/15968-1.jpg,GG
15969,Crystal Warriors,12/13/91,boxart/original/front/15969-1.jpg,GG
15970,Defenders of Oasis,9/18/92,boxart/original/front/15970-1.jpg,GG
16976,Taz in Escape from Mars,1/1/94,boxart/original/front/16976-1.jpg,GG
17762,Greendog: The Beached Surfer Dude!,8/18/93,boxart/original/front/17762-1.jpg,GG
17773,Lemmings,2/5/93,boxart/original/front/17773-1.jpg,GG
17792,Choplifter III,1/1/95,boxart/original/front/17792-1.jpg,GG
17793,Kenyuu Densetsu Yaiba,9/9/94,boxart/original/front/17793-1.jpg,GG
17794,Mega Man,1/1/95,boxart/original/front/17794-1.jpg,GG
17795,Monster Truck Wars,1/1/95,boxart/original/front/17795-1.jpg,GG
17796,R.B.I. Baseball '94,1/1/94,boxart/original/front/17796-1.jpg,GG
17797,Shinobi II - The Silent Fury,1/1/92,boxart/original/front/17797-1.jpg,GG
17798,Wizard Pinball,1/1/92,boxart/original/front/17798-1.jpg,GG
17799,Tempo Jr.,1/11/95,boxart/original/front/17799-1.png,GG
17800,Sonic The Hedgehog - Triple Trouble,11/15/94,boxart/original/front/17800-1.jpg,GG
19049,Shining Force II: The Sword of Hajya,1/1/94,boxart/original/front/19049-1.jpg,GG
19050,Shining Force III: Final Conflict,6/30/95,boxart/original/front/19050-1.jpg,GG
19051,Bishoujo Senshi Sailor Moon S,1/27/95,boxart/original/front/19051-1.png,GG
19062,Sonic Drift 2,1/1/95,boxart/original/front/19062-1.png,GG
19235,Kishin Douji Zenki,9/1/95,boxart/original/front/19235-1.png,GG
19236,Yu Yu Hakusho: Horobishi Mono no Gyakushuu,3/18/94,boxart/original/front/19236-1.jpg,GG
19237,Griffin,7/26/91,boxart/original/front/19237-1.jpg,GG
19419,Sonic The Hedgehog Chaos,11/23/93,boxart/original/front/19419-1.jpg,GG
19836,The Simpsons: Bart vs. the World,1/1/93,boxart/original/front/19836-1.jpg,GG
19837,Devilish,4/29/91,boxart/original/front/19837-1.jpg,GG
19992,Road Rash,1/1/91,boxart/original/front/19992-1.png,GG
19993,The Ottifants,1/1/93,boxart/original/front/19993-1.jpg,GG
20252,Mortal Kombat II,9/9/94,boxart/original/front/20252-1.jpg,GG
20260,Lunar: Sanposuru Gakuen,1/12/96,boxart/original/front/20260-1.jpg,GG
20353,Disney's Aladdin,1/1/93,boxart/original/front/20353-1.png,GG
20542,Aa Harimanada,7/2/93,boxart/original/front/20542-1.jpg,GG
20543,Adventures of Batman & Robin,5/26/95,boxart/original/front/20543-1.png,GG
20544,Ayrton Senna's Super Monaco GP II,1/1/92,boxart/original/front/20544-1.jpg,GG
20545,Zan Gear,10/27/90,boxart/original/front/20545-1.jpg,GG
20546,Yu Yu Hakusho 2: Gekitou! Nanakyou no Tatakai,9/30/94,boxart/original/front/20546-1.jpg,GG
21260,Cool Spot,1/1/93,boxart/original/front/21260-1.png,GG
21288,Mortal Kombat 3,1/1/96,boxart/original/front/21288-1.jpg,GG
21317,Formula One,1/1/93,boxart/original/front/21317-1.png,GG
21318,Jurassic Park,10/1/93,boxart/original/front/21318-1.jpg,GG
21319,Kawasaki Superbike Challenge,1/1/94,boxart/original/front/21319-1.jpg,GG
21320,Legend of Illusion Starring Mickey Mouse,1/1/95,boxart/original/front/21320-1.jpg,GG
21321,The Lost World: Jurassic Park,1/1/97,boxart/original/front/21321-1.jpg,GG
21344,Castle of Illusion Starring Mickey Mouse,4/26/91,boxart/original/front/21344-1.jpg,GG
21345,Deep Duck Trouble Starring Donald Duck,12/17/93,boxart/original/front/21345-1.jpg,GG
21346,Dragon Crystal,1/1/90,boxart/original/front/21346-1.jpg,GG
21759,The Berenstain Bears: Camping Adventure,1/1/94,boxart/original/front/21759-1.jpg,GG
21760,Bubble Bobble,1/1/94,boxart/original/front/21760-1.jpg,GG
21761,Fatal Fury Special,9/16/93,boxart/original/front/21761-1.jpg,GG
21762,Foreman for Real,1/1/95,boxart/original/front/21762-1.jpg,GG
21763,Frank Thomas Big Hurt Baseball,1/1/95,boxart/original/front/21763-1.jpg,GG
21764,Gear Works,1/1/94,boxart/original/front/21764-1.jpg,GG
