id,GameTitle,ReleaseDate,thumb,Platform
36006,Swamp Thing,,boxart/original/front/36006-1.jpg,GEN
114,Sonic the Hedgehog,6/23/91,boxart/original/front/114-1.jpg,GEN
115,Castle of Illusion Starring Mickey Mouse,11/22/90,boxart/original/front/115-1.jpg,GEN
118,Altered Beast,11/27/88,boxart/original/front/118-2.jpg,GEN
119,R-Type,7/1/87,boxart/original/front/119-1.jpg,GEN
120,Shinobi III: Return of the Ninja Master,5/18/94,boxart/original/front/120-2.jpg,GEN
127,Phantasy Star IV - The End of the Millennium,2/1/95,boxart/original/front/127-1.jpg,GEN
128,Michael Jackson's Moonwalker,8/24/90,boxart/original/front/128-2.jpg,GEN
138,Gunstar Heroes,9/9/93,boxart/original/front/138-2.jpg,GEN
139,World of Illusion Starring Mickey Mouse and Donald Duck,12/18/92,boxart/original/front/139-1.jpg,GEN
142,Sonic the Hedgehog 2,11/21/92,boxart/original/front/142-2.jpg,GEN
183,Shining Force,3/19/92,boxart/original/front/183-1.jpg,GEN
157,Disney's Aladdin,11/26/93,boxart/original/front/157-1.jpg,GEN
184,Shining Force II,10/19/94,boxart/original/front/184-1.jpg,GEN
204,Super Bubble Bobble MD,1/1/86,boxart/original/front/204-1.jpg,GEN
34109,Super Tank War,,boxart/original/front/34109-1.jpg,GEN
209,Golden Axe,5/1/89,boxart/original/front/209-1.jpg,GEN
301,The Great Circus Mystery Starring Mickey & Minnie,6/2/94,boxart/original/front/301-1.jpg,GEN
302,The Itchy & Scratchy Game,1995,boxart/original/front/302-2.jpg,GEN
286,John Madden Football,1/1/90,boxart/original/front/286-2.jpg,GEN
464,Chiki Chiki Boys,1/1/93,boxart/original/front/464-1.jpg,GEN
386,The Punisher,1/1/94,boxart/original/front/386-2.jpg,GEN
446,After Burner II,7/15/90,boxart/original/front/446-1.jpg,GEN
447,Aerobiz Supersonic,4/2/93,boxart/original/front/447-1.jpg,GEN
448,Air Diver,4/1/90,boxart/original/front/448-1.jpg,GEN
449,Disney's Ariel: The Little Mermaid,1/1/92,boxart/original/front/449-1.jpg,GEN
450,Art Alive,1/1/91,boxart/original/front/450-1.jpg,GEN
451,Ballz 3D: Fighting at Its Ballziest,1/1/94,boxart/original/front/451-1.jpg,GEN
452,Barney's Hide & Seek Game,1/1/93,boxart/original/front/452-1.jpg,GEN
453,Bass Masters Classic: Pro Edition,7/1/96,boxart/original/front/453-1.jpg,GEN
454,Batman Forever,9/7/95,boxart/original/front/454-1.jpg,GEN
455,BattleTech: A Game of Armored Combat,12/31/94,boxart/original/front/455-2.jpg,GEN
456,Bill Walsh College Football 95,6/1/94,boxart/original/front/456-1.jpg,GEN
457,B.O.B.,6/1/93,boxart/original/front/457-1.jpg,GEN
459,Bubsy in: Claws Encounters of the Furred Kind,5/1/90,boxart/original/front/459-1.jpg,GEN
460,Bugs Bunny in Double Trouble,6/1/96,boxart/original/front/460-1.jpg,GEN
461,Bulls Versus Blazers and the NBA Playoffs,2/26/93,boxart/original/front/461-1.jpg,GEN
462,Centurion: Defender of Rome,1/1/91,boxart/original/front/462-1.jpg,GEN
463,Chester Cheetah: Wild Wild Quest,1993,boxart/original/front/463-1.png,GEN
465,Columns,6/30/90,boxart/original/front/465-1.jpg,GEN
466,Crue Ball: Heavy Metal Pinball,4/26/92,boxart/original/front/466-1.jpg,GEN
467,Crystal's Pony Tale,1/1/94,boxart/original/front/467-1.jpg,GEN
468,Cyber-Cop,1/1/92,boxart/original/front/468-1.jpg,GEN
469,Dark Castle,1/1/91,boxart/original/front/469-1.jpg,GEN
470,Desert Strike: Return to the Gulf,6/4/92,boxart/original/front/470-1.jpg,GEN
471,Double Dragon 3: The Arcade Game,1992,boxart/original/front/471-2.jpg,GEN
472,ESPN National Hockey Night,8/1/94,boxart/original/front/472-2.jpg,GEN
473,Eternal Champions,1/1/93,boxart/original/front/473-2.jpg,GEN
475,Family Feud,1/1/93,boxart/original/front/475-2.jpg,GEN
476,Fantastic Dizzy,1/1/93,boxart/original/front/476-1.jpg,GEN
477,Fatal Labyrinth,1/1/91,boxart/original/front/477-1.jpg,GEN
478,Fatal Rewind,1/1/91,boxart/original/front/478-1.jpg,GEN
479,Ferrari Grand Prix Challenge,1/1/92,boxart/original/front/479-1.jpg,GEN
480,Final Zone,1/1/90,boxart/original/front/480-1.jpg,GEN
481,Funny World & Balloon Boy,1/1/93,boxart/original/front/481-1.jpg,GEN
483,Hard Drivin',1/1/91,boxart/original/front/483-1.jpg,GEN
484,Haunting Starring Polterguy,4/1/93,boxart/original/front/484-1.jpg,GEN
485,Hellfire,1/1/91,boxart/original/front/485-1.jpg,GEN
486,Herzog Zwei,1/11/90,boxart/original/front/486-1.jpg,GEN
487,Home Alone,10/31/91,boxart/original/front/487-1.jpg,GEN
488,The Humans,5/14/92,boxart/original/front/488-1.jpg,GEN
489,The Immortal,8/9/93,boxart/original/front/489-2.jpg,GEN
490,Insector X,1/1/90,boxart/original/front/490-1.jpg,GEN
534,Joe Montana II: Sportstalk Football,4/1/91,boxart/original/front/534-1.jpg,GEN
