id,GameTitle,ReleaseDate,thumb,Platform
48,NiGHTS into Dreams...,8/31/96,boxart/original/front/48-1.jpg,SAT
185,Shining Force III,8/12/98,boxart/original/front/185-1.jpg,SAT
607,Skeleton Warriors,1/1/96,boxart/original/front/607-2.jpg,SAT
38964,Goiken Muyou: Anarchy in the Nippon,10/2/97,boxart/original/front/38964-1.jpg,SAT
2779,Tomb Raider,10/31/96,boxart/original/front/2779-1.jpg,SAT
2390,Guardian Heroes,5/26/97,boxart/original/front/2390-1.jpg,SAT
2391,Virtua Fighter Kids,7/31/96,boxart/original/front/2391-1.jpg,SAT
2392,Virtua Cop 2,11/30/96,boxart/original/front/2392-1.jpg,SAT
2393,Theme Park,1/1/95,boxart/original/front/2393-1.jpg,SAT
2394,Romance of the Three Kingdoms IV: Wall of Fire,1/1/95,boxart/original/front/2394-1.jpg,SAT
2395,P.T.O. II: Pacific Theater of Operations,10/31/96,boxart/original/front/2395-1.jpg,SAT
2396,Iron Storm,4/1/96,boxart/original/front/2396-1.jpg,SAT
2397,Ghen War,1/1/95,boxart/original/front/2397-1.jpg,SAT
2398,Dark Legend,10/1/95,boxart/original/front/2398-1.jpg,SAT
2399,Croc: Legend of The Gobbos,1/1/97,boxart/original/front/2399-1.jpg,SAT
2400,Bug Too!,11/12/96,boxart/original/front/2400-1.jpg,SAT
2405,Golden Axe: The Duel,6/27/96,boxart/original/front/2405-1.jpg,SAT
2406,Die Hard Arcade,4/8/97,boxart/original/front/2406-1.jpg,SAT
2421,Alien Trilogy,12/31/95,boxart/original/front/2421-1.jpg,SAT
2422,Hi-Octane: The Track Fights Back!,1/1/95,boxart/original/front/2422-1.jpg,SAT
2423,The Mansion of Hidden Souls,1/1/94,boxart/original/front/2423-1.jpg,SAT
2424,Manx TT Superbike,6/30/97,boxart/original/front/2424-1.jpg,SAT
2425,Space Hulk: Vengeance of the Blood Angels,9/15/96,boxart/original/front/2425-1.jpg,SAT
2426,Wing Arms,1/1/95,boxart/original/front/2426-1.jpg,SAT
2427,Wipeout,1/1/96,boxart/original/front/2427-1.jpg,SAT
2443,NBA Jam Extreme,1996,boxart/original/front/2443-1.jpg,SAT
2459,Bust-A-Move 3,1/1/96,boxart/original/front/2459-1.jpg,SAT
4106,The Legend of Oasis,11/30/96,boxart/original/front/4106-1.jpg,SAT
35523,FEDA: The Emblem of Justice Remake,10/28/94,boxart/original/front/35523-1.jpg,SAT
5509,3D Lemmings,1/1/96,boxart/original/front/5509-1.jpg,SAT
5635,Virtua Fighter 2,12/1/95,boxart/original/front/5635-2.jpg,SAT
5688,Duke Nukem 3D,1/1/97,boxart/original/front/5688-1.jpg,SAT
6277,Earthworm Jim 2,1/1/96,boxart/original/front/6277-1.jpg,SAT
6278,High Velocity: Mountain Racing Challenge,1/1/96,boxart/original/front/6278-1.jpg,SAT
6279,Digital Pinball: Last Gladiators,6/23/95,boxart/original/front/6279-1.jpg,SAT
6280,The Lost World: Jurassic Park,1/1/97,boxart/original/front/6280-1.jpg,SAT
6281,Mega Man 8: Anniversary Collector's Edition,2/27/97,boxart/original/front/6281-1.jpg,SAT
6430,Street Fighter Collection,7/15/97,boxart/original/front/6430-1.jpg,SAT
6825,F1 Challenge,1/1/96,boxart/original/front/6825-1.jpg,SAT
6826,The House of the Dead,3/31/98,boxart/original/front/6826-1.jpg,SAT
6827,NBA Jam Tournament Edition,1/1/95,boxart/original/front/6827-1.jpg,SAT
6828,Panzer Dragoon Saga,4/30/98,boxart/original/front/6828-1.jpg,SAT
6829,Spot Goes To Hollywood,1/1/96,boxart/original/front/6829-1.jpg,SAT
6830,Street Fighter Alpha 2,9/14/96,boxart/original/front/6830-1.jpg,SAT
6831,Virtua Fighter Remix,1/1/95,boxart/original/front/6831-1.jpg,SAT
6832,Virtual Casino,1/1/96,boxart/original/front/6832-1.jpg,SAT
7777,Congo The Movie: The Lost City of Zinj,1/1/96,boxart/original/front/7777-1.jpg,SAT
7778,Mass Destruction,12/31/97,boxart/original/front/7778-1.jpg,SAT
