id,GameTitle,ReleaseDate,thumb,Platform
41,Super Mario Kart,9/1/92,boxart/original/front/41-1.jpg,SNES
83,Final Fantasy III,4/2/94,boxart/original/front/83-1.jpg,SNES
122,Contra III: The Alien Wars,4/6/92,boxart/original/front/122-1.jpg,SNES
131,Donkey Kong Country,11/21/94,boxart/original/front/131-2.jpg,SNES
136,Super Mario World,8/13/91,boxart/original/front/136-1.jpg,SNES
137,Super Mario World 2: Yoshi's Island,10/4/95,boxart/original/front/137-1.jpg,SNES
143,Mega Man X,1/21/94,boxart/original/front/143-1.jpg,SNES
188,Teenage Mutant Ninja Turtles IV: Turtles In Time,8/1/92,boxart/original/front/188-1.png,SNES
203,Aero Fighters,1/1/94,boxart/original/front/203-1.jpg,SNES
232,Super Mario RPG: Legend of the Seven Stars,5/13/96,boxart/original/front/232-1.jpg,SNES
273,Air Cavalry,6/20/95,boxart/original/front/273-1.jpg,SNES
274,Animaniacs,11/1/94,boxart/original/front/274-2.jpg,SNES
275,Ardy Lightfoot,11/26/93,boxart/original/front/275-1.jpg,SNES
276,Battle Clash,6/21/93,boxart/original/front/276-2.jpg,SNES
277,Super Bomberman,9/1/93,boxart/original/front/277-1.jpg,SNES
278,Bugs Bunny Rabbit Rampage,2/5/94,boxart/original/front/278-2.jpg,SNES
279,Cacoma Knight in Bizyland,1993,boxart/original/front/279-1.jpg,SNES
280,Congo's Caper,12/18/92,boxart/original/front/280-1.jpg,SNES
281,3 Ninjas Kick Back,6/19/94,boxart/original/front/281-1.jpg,SNES
282,The 7th Saga,8/3/93,boxart/original/front/282-2.jpg,SNES
297,Scooby-Doo Mystery,1/1/95,boxart/original/front/297-1.jpg,SNES
298,SkulJagger: Revolt of the Westicans,10/1/92,boxart/original/front/298-1.jpg,SNES
299,Super Metroid,4/18/94,boxart/original/front/299-1.jpg,SNES
300,Super Probotector: Alien Rebels,4/6/92,boxart/original/front/300-1.jpg,SNES
303,90 Minutes European Prime Goal,8/4/95,boxart/original/front/303-2.jpg,SNES
304,2020 Super Baseball,3/12/93,boxart/original/front/304-1.jpg,SNES
305,A.S.P. - Air Strike Patrol,1/1/95,boxart/original/front/305-1.jpg,SNES
306,AAAHH!!! Real Monsters,8/15/95,boxart/original/front/306-1.jpg,SNES
283,Daffy Duck: The Marvin Missions,10/1/93,boxart/original/front/283-2.jpg,SNES
284,Advanced Dungeons & Dragons: Eye of the Beholder,3/18/94,boxart/original/front/284-1.jpg,SNES
285,Jeopardy!,12/1/92,boxart/original/front/285-1.jpg,SNES
287,Judge Dredd,10/27/95,boxart/original/front/287-1.jpg,SNES
288,Ka-Blooey,1/1/92,boxart/original/front/288-1.jpg,SNES
289,Krusty's Super Fun House,6/1/92,boxart/original/front/289-1.jpg,SNES
290,Madden NFL 96,11/30/95,boxart/original/front/290-1.jpg,SNES
291,Madden NFL 97,10/1/96,boxart/original/front/291-1.jpg,SNES
292,Mega Man 7,3/24/95,boxart/original/front/292-2.jpg,SNES
293,NBA Live 95,12/3/94,boxart/original/front/293-1.jpg,SNES
294,NFL Quarterback Club 96,11/1/95,boxart/original/front/294-1.jpg,SNES
39058,Mr. Bloopy saves the World,,boxart/original/front/39058-1.jpg,SNES
36397,Super Dany,1/1/95,boxart/original/front/36397-1.jpg,SNES
38622,J.League Excite Stage '96,4/26/96,boxart/original/front/38622-1.jpg,SNES
3225,Marvel Super Heroes in War of the Gems,10/18/96,boxart/original/front/3225-1.jpg,SNES
3226,Mighty Morphin Power Rangers,9/1/94,boxart/original/front/3226-1.jpg,SNES
3227,MLBPA Baseball,3/1/94,boxart/original/front/3227-1.jpg,SNES
3228,NHL '94,10/1/93,boxart/original/front/3228-1.jpg,SNES
3229,NHL Stanley Cup,11/2/93,boxart/original/front/3229-1.jpg,SNES
3230,Nigel Mansell's World Championship Racing,7/1/93,boxart/original/front/3230-1.jpg,SNES
3231,Ninja Warriors,1/28/94,boxart/original/front/3231-1.jpg,SNES
3232,Ogre Battle: The March of the Black Queen,5/1/95,boxart/original/front/3232-1.jpg,SNES
3233,Operation Logic Bomb,9/1/93,boxart/original/front/3233-1.jpg,SNES
3234,Pac-Man 2: The New Adventures,9/1/94,boxart/original/front/3234-1.jpg,SNES
3235,Phalanx,10/1/92,boxart/original/front/3235-1.jpg,SNES
3236,Populous,9/30/91,boxart/original/front/3236-1.jpg,SNES
3237,Power Moves,1/22/93,boxart/original/front/3237-1.jpg,SNES
3238,Prince of Persia,11/1/92,boxart/original/front/3238-1.jpg,SNES
3239,P.T.O. : Pacific Theater of Operations,9/1/93,boxart/original/front/3239-1.jpg,SNES
3240,Raiden Trad,4/1/92,boxart/original/front/3240-1.jpg,SNES
3241,Rex Ronan: Experimental Surgeon,5/6/94,boxart/original/front/3241-1.jpg,SNES
3242,Rise of the Phoenix,2/1/95,boxart/original/front/3242-1.jpg,SNES
3243,Road Runner's Death Valley Rally,11/1/92,boxart/original/front/3243-1.jpg,SNES
3244,Robotrek,10/1/94,boxart/original/front/3244-1.jpg,SNES
3245,Rocky Rodent,9/1/93,boxart/original/front/3245-1.jpg,SNES
3246,Romance of the Three Kingdoms IV: Wall of Fire,7/1/95,boxart/original/front/3246-1.jpg,SNES
869,Breath of Fire,8/1/94,boxart/original/front/869-2.jpg,SNES
870,Breath of Fire II,12/3/95,boxart/original/front/870-2.jpg,SNES
974,Fatal Fury,12/20/91,boxart/original/front/974-2.jpg,SNES
997,Earthworm Jim,8/2/94,boxart/original/front/997-2.jpg,SNES
1015,Mega Man X2,1/27/95,boxart/original/front/1015-1.jpg,SNES
1016,Mega Man X3,1/26/96,boxart/original/front/1016-1.jpg,SNES
1046,ActRaiser,11/1/91,boxart/original/front/1046-1.jpg,SNES
1049,The Adventures of Batman & Robin,12/1/94,boxart/original/front/1049-1.jpg,SNES
1050,The Adventures of Dr. Franken,12/1/93,boxart/original/front/1050-1.jpg,SNES
8184,X Zone,11/1/92,boxart/original/front/8184-1.jpg,SNES
38634,Jissen Pachinko Hisshouhou! 2,3/8/96,boxart/original/front/38634-1.jpg,SNES
38635,Jissen Pachi-Slot Hisshouhou! Twin,3/15/97,boxart/original/front/38635-1.jpg,SNES
38632,Jikkyou Powerful Pro Yakyuu '96: Kaimaku Ban,7/19/96,boxart/original/front/38632-1.jpg,SNES
38633,Jissen Kyoutei,6/23/95,boxart/original/front/38633-1.jpg,SNES
38629,Jikkyou Powerful Pro Yakyuu 3 '97-Haru,3/20/97,boxart/original/front/38629-1.jpg,SNES
38630,Jikkyou Powerful Pro Yakyuu 3,2/29/96,boxart/original/front/38630-1.jpg,SNES
38631,Jikkyou Powerful Pro Yakyuu '94,3/11/94,boxart/original/front/38631-1.jpg,SNES
38628,Jikkyou Powerful Pro Yakyuu: Basic '98,3/19/98,boxart/original/front/38628-1.jpg,SNES
1253,Secret of Mana,8/6/93,boxart/original/front/1253-1.jpg,SNES
1254,Killer Instinct,8/1/95,boxart/original/front/1254-1.jpg,SNES
1255,Chrono Trigger,3/11/95,boxart/original/front/1255-1.jpg,SNES
1286,Final Fantasy II,11/1/91,boxart/original/front/1286-2.jpg,SNES
1307,Super Punch-Out!!,10/1/94,boxart/original/front/1307-1.jpg,SNES
1308,Super Castlevania IV,12/1/91,boxart/original/front/1308-1.jpg,SNES
1311,Secret of Evermore,10/1/95,boxart/original/front/1311-1.jpg,SNES
25894,Super Gussun Oyoyo,8/11/95,boxart/original/front/25894-1.jpg,SNES
1315,Kirby Super Star,9/20/96,boxart/original/front/1315-1.jpg,SNES
1316,Knights of the Round,11/27/91,boxart/original/front/1316-1.jpg,SNES
1318,The Legend of Zelda: A Link to the Past,4/13/92,boxart/original/front/1318-1.jpg,SNES
1324,The Hunt for Red October,1990,boxart/original/front/1324-2.jpg,SNES
1332,ABC Monday Night Football,12/7/93,boxart/original/front/1332-1.jpg,SNES
1361,Zombies Ate My Neighbors,9/1/93,boxart/original/front/1361-1.jpg,SNES
1515,Barkley Shut Up and Jam!,6/1/94,boxart/original/front/1515-1.png,SNES
1517,Batman Returns,3/31/93,boxart/original/front/1517-1.jpg,SNES
1519,Big Sky Trooper,10/1/95,boxart/original/front/1519-1.jpg,SNES
1520,Biker Mice from Mars,12/2/94,boxart/original/front/1520-1.jpg,SNES
1521,Blackthorne,9/16/94,boxart/original/front/1521-1.jpg,SNES
1523,Brawl Brothers,4/15/93,boxart/original/front/1523-1.jpg,SNES
1524,Bulls Vs Blazers and the NBA Playoffs,1992,boxart/original/front/1524-1.jpg,SNES
1525,Donkey Kong Country 2: Diddy's Kong Quest,11/20/95,boxart/original/front/1525-1.jpg,SNES
