id,GameTitle,ReleaseDate,thumb,Platform
40,Super Mario Galaxy,11/12/07,boxart/original/front/40-1.jpg,Wii
58,Resident Evil Archives: Resident Evil 0,12/1/09,boxart/original/front/58-1.jpg,Wii
109,The Legend of Zelda: Twilight Princess,11/19/06,boxart/original/front/109-1.jpg,Wii
168,Mario Party 8,5/29/08,boxart/original/front/168-1.jpg,Wii
169,Mario Kart Wii,4/27/08,boxart/original/front/169-1.jpg,Wii
170,New Super Mario Bros. Wii,11/15/09,boxart/original/front/170-1.jpg,Wii
233,Metroid Prime 3: Corruption,8/27/07,boxart/original/front/233-1.jpg,Wii
1333,Raving Rabbids: Travel in Time,11/21/10,boxart/original/front/1333-1.jpg,Wii
41324,Build 'n Race,8/4/09,boxart/original/front/41324-1.jpg,Wii
41325,Cabela's Dangerous Hunts 2009,9/23/08,boxart/original/front/41325-1.jpg,Wii
824,Red Steel 2,3/23/10,boxart/original/front/824-1.jpg,Wii
827,Resident Evil: The Darkside Chronicles,11/17/09,boxart/original/front/827-1.jpg,Wii
841,The Conduit,6/23/09,boxart/original/front/841-2.jpg,Wii
889,Rayman Raving Rabbids 2,11/13/07,boxart/original/front/889-1.jpg,Wii
890,Rayman Raving Rabbids TV Party,11/18/08,boxart/original/front/890-1.jpg,Wii
908,Super Mario Galaxy 2,5/23/10,boxart/original/front/908-2.jpg,Wii
921,Sonic and the Black Knight,3/3/09,boxart/original/front/921-1.jpg,Wii
3297,Donkey Kong Country Returns,11/21/10,boxart/original/front/3297-1.jpg,Wii
1558,Harvest Moon Animal Parade,11/10/10,boxart/original/front/1558-1.jpg,Wii
32234,Busy Scissors,11/2/10,boxart/original/front/32234-1.jpg,Wii
2230,Manhunt 2,10/28/09,boxart/original/front/2230-2.jpg,Wii
2231,Tournament of Legends,7/6/10,boxart/original/front/2231-2.jpg,Wii
2248,Link's Crossbow Training,11/17/07,boxart/original/front/2248-1.jpg,Wii
2261,Machinarium,10/16/09,boxart/original/front/2261-1.jpg,Wii
2303,Sonic Colors,11/16/10,boxart/original/front/2303-1.jpg,Wii
2329,Sonic the Hedgehog 4: Episode 1,10/7/10,boxart/original/front/2329-2.png,Wii
9034,NASCAR 2011: The Game,5/24/11,boxart/original/front/9034-1.jpg,Wii
2387,Dragon's Lair Trilogy,10/8/10,boxart/original/front/2387-2.jpg,Wii
2388,Metroid: Other M,8/31/10,boxart/original/front/2388-1.jpg,Wii
32235,Girls Life: Sleepover Party,12/4/09,boxart/original/front/32235-1.jpg,Wii
7659,Mario Strikers Charged,7/30/07,boxart/original/front/7659-1.jpg,Wii
7660,Mario Super Sluggers,8/25/08,boxart/original/front/7660-1.jpg,Wii
7661,Mercury Meltdown Revolution,10/15/07,boxart/original/front/7661-1.jpg,Wii
2504,Deadly Creatures,2/9/09,boxart/original/front/2504-2.jpg,Wii
2524,Mario Sports Mix,2/7/11,boxart/original/front/2524-1.jpg,Wii
2526,Super Paper Mario,4/9/07,boxart/original/front/2526-1.jpg,Wii
3296,Madden NFL 11,8/10/10,boxart/original/front/3296-1.jpg,Wii
2934,Rayman Raving Rabbids,11/19/06,boxart/original/front/2934-2.jpg,Wii
3136,Monsters vs. Aliens,3/24/09,boxart/original/front/3136-1.jpg,Wii
3257,Wii Fit,5/19/08,boxart/original/front/3257-1.jpg,Wii
3293,Wii Sports,11/19/06,boxart/original/front/3293-1.jpg,Wii
3255,Punch-Out!!,5/18/09,boxart/original/front/3255-1.jpg,Wii
33451,King of Pool,6/5/09,boxart/original/front/33451-1.jpg,Wii
33436,Kidz Sports Basketball,12/31/07,boxart/original/front/33436-1.jpg,Wii
33437,Flip's Twisted World,10/25/10,boxart/original/front/33437-1.jpg,Wii
3194,Wii Sports Resort,7/26/09,boxart/original/front/3194-1.jpg,Wii
