id,GameTitle,ReleaseDate,thumb,Platform
33059,Just Dance 2016,10/20/15,boxart/original/front/33059-1.jpg,WiiU
36400,Amiibo Tap: Nintendo's Greatest Bits,4/30/15,boxart/original/front/36400-1.jpg,WiiU
48683,Golden Sun,4/17/14,boxart/original/front/48683-1.jpg,WiiU
44756,Turbo Super Stunt Squad,7/16/13,boxart/original/front/44756-1.jpg,WiiU
48983,OlliOlli,3/5/15,boxart/original/front/48983-1.png,WiiU
48790,The Legend of Zelda: The Minish Cap,6/5/14,boxart/original/front/48790-1.jpg,WiiU
48587,Cube Life: Pixel Action Heroes,3/30/17,boxart/original/front/48587-1.jpg,WiiU
9060,New Super Mario Bros. U,11/18/12,boxart/original/front/9060-1.jpg,WiiU
23230,Hyrule Warriors,9/26/14,boxart/original/front/23230-1.jpg,WiiU
10709,ZombiU,11/18/12,boxart/original/front/10709-1.jpg,WiiU
48908,Mario Party Advance,12/25/14,boxart/original/front/48908-1.png,WiiU
11133,Batman: Arkham City: Armored Edition,11/18/12,boxart/original/front/11133-1.jpg,WiiU
11151,Super Smash Bros. for Wii U,11/21/14,boxart/original/front/11151-1.png,WiiU
11742,Assassin's Creed III,11/13/12,boxart/original/front/11742-1.jpg,WiiU
11743,Nintendo Land,11/18/12,boxart/original/front/11743-1.jpg,WiiU
11744,Marvel Avengers: Battle for Earth,12/4/12,boxart/original/front/11744-1.jpg,WiiU
11745,Call of Duty: Black Ops II,11/18/12,boxart/original/front/11745-1.jpg,WiiU
11778,Disney Epic Mickey 2: The Power of Two,11/18/12,boxart/original/front/11778-1.jpg,WiiU
48586,Collateral Thinking,8/18/16,boxart/original/front/48586-1.jpg,WiiU
12086,ESPN Sports Connection,11/13/12,boxart/original/front/12086-1.jpg,WiiU
12091,Transformers Prime: The Game,11/18/12,boxart/original/front/12091-1.png,WiiU
12093,Just Dance 4,11/13/12,boxart/original/front/12093-1.jpg,WiiU
12095,Rabbids Land,11/18/12,boxart/original/front/12095-1.jpg,WiiU
12098,Darksiders II,11/18/12,boxart/original/front/12098-1.jpg,WiiU
12100,Scribblenauts Unlimited,11/18/12,boxart/original/front/12100-1.jpg,WiiU
12102,Sonic & All-Stars Racing Transformed,11/18/12,boxart/original/front/12102-1.jpg,WiiU
12103,Wipeout 3,11/18/12,boxart/original/front/12103-1.jpg,WiiU
12104,Trine 2: Director’s Cut,11/18/12,boxart/original/front/12104-1.jpg,WiiU
12105,Ninja Gaiden 3: Razor's Edge,11/18/12,boxart/original/front/12105-1.jpg,WiiU
12237,Rayman Legends,9/1/13,boxart/original/front/12237-1.jpg,WiiU
48663,Frenchy Bird,1/29/15,boxart/original/front/48663-1.jpg,WiiU
12507,Mass Effect 3,11/18/12,boxart/original/front/12507-1.jpg,WiiU
48588,Daikon Set,6/22/17,boxart/original/front/48588-1.jpg,WiiU
48589,Donkey Kong Country,2/26/15,boxart/original/front/48589-1.jpg,WiiU
48757,Koi DX,1/19/17,boxart/original/front/48757-1.jpg,WiiU
18149,Assassin's Creed IV: Black Flag,10/29/13,boxart/original/front/18149-1.jpg,WiiU
18152,Mario & Sonic at the Sochi 2014 Olympic Winter Games,11/15/13,boxart/original/front/18152-1.png,WiiU
