id,GameTitle,ReleaseDate,thumb,Platform
35522,Naruto Shippuden: Ultimate Ninja Storm 4,2/9/16,boxart/original/front/35522-1.jpg,XOne
47698,Assassin's Creed The Ezio Collection,,boxart/original/front/47698-1.jpg,XOne
44225,Resident Evil 5,,boxart/original/front/44225-1.jpg,XOne
44226,Resident Evil 6,3/29/16,boxart/original/front/44226-1.jpg,XOne
48783,Dead Island Definitive Collection,5/31/16,boxart/original/front/48783-1.jpg,XOne
44761,Rocksmith Remastered 2014 Edition,10/4/16,boxart/original/front/44761-1.jpg,XOne
34530,Resident Evil: Origins Collection,1/19/16,boxart/original/front/34530-1.jpg,XOne
49272,Duck Dynasty,,boxart/original/front/49272-1.jpg,XOne
18151,Assassin's Creed IV: Black Flag,11/19/13,boxart/original/front/18151-1.jpg,XOne
48993,Sonic Mania,,boxart/original/front/48993-1.jpg,XOne
35085,Rolie Polie Olie 2,6/1/16,,XOne
52811,Forza Motorsport 5 Limited Edition,11/22/13,boxart/original/front/52811-1.jpg,XOne
52813,Shadow Tactics: Blades of the Shogun,,boxart/original/front/52813-1.jpg,XOne
17096,Forza Motorsport 5,11/22/13,boxart/original/front/17096-1.jpg,XOne
17097,Call of Duty: Ghosts,11/19/13,boxart/original/front/17097-1.png,XOne
17227,Need for Speed: Rivals,11/26/13,boxart/original/front/17227-1.jpg,XOne
17251,The Witcher 3: Wild Hunt,5/19/15,boxart/original/front/17251-1.jpg,XOne
17253,Titanfall,3/11/14,boxart/original/front/17253-1.jpg,XOne
17446,Ryse: Son of Rome,11/22/13,boxart/original/front/17446-1.jpg,XOne
17810,Dead Rising 3,11/22/13,boxart/original/front/17810-1.jpg,XOne
53990,The Crew 2,6/29/18,boxart/original/front/53990-1.jpg,XOne
18130,Quantum Break,4/5/16,boxart/original/front/18130-1.jpg,XOne
18163,Battlefield 4,11/19/13,boxart/original/front/18163-1.jpg,XOne
18230,Madden NFL 25,11/19/13,boxart/original/front/18230-1.jpg,XOne
18231,NBA 2K14,11/15/13,boxart/original/front/18231-1.jpg,XOne
18232,Just Dance 2014,11/19/13,boxart/original/front/18232-1.jpg,XOne
18233,LEGO Marvel Super Heroes,11/22/13,boxart/original/front/18233-1.jpg,XOne
18234,Skylanders SWAP Force,11/22/13,boxart/original/front/18234-1.jpg,XOne
18235,Zumba Fitness World Party,11/19/13,boxart/original/front/18235-1.png,XOne
18237,Angry Birds Star Wars,11/22/13,boxart/original/front/18237-1.jpg,XOne
18238,FIFA 14,11/19/13,boxart/original/front/18238-1.jpg,XOne
18239,NBA Live 14,11/19/13,boxart/original/front/18239-1.jpg,XOne
33355,Chivalry: Medieval Warfare,12/1/15,boxart/original/front/33355-1.jpg,XOne
20792,Sunset Overdrive,10/31/14,boxart/original/front/20792-1.jpg,XOne
20794,Fable Legends,,boxart/original/front/20794-1.jpg,XOne
20795,Project Spark,10/10/14,boxart/original/front/20795-1.jpg,XOne
20797,Ori and the Blind Forest,3/11/15,boxart/original/front/20797-1.jpg,XOne
20798,Rise of the Tomb Raider,11/10/15,boxart/original/front/20798-1.jpg,XOne
20799,Scalebound,1/1/17,boxart/original/front/20799-1.png,XOne
20800,Crackdown 3,,boxart/original/front/20800-1.jpg,XOne
20803,The Crew,11/11/14,boxart/original/front/20803-1.jpg,XOne
20809,Valiant Hearts: The Great War,6/25/14,boxart/original/front/20809-1.png,XOne
20810,Far Cry 4,11/11/14,boxart/original/front/20810-1.png,XOne
19063,Metal Gear Solid V: Ground Zeroes,3/18/14,boxart/original/front/19063-1.jpg,XOne
19158,Halo: Spartan Assault,12/22/13,boxart/original/front/19158-1.jpg,XOne
19196,Tomb Raider: Definitive Edition,1/28/14,boxart/original/front/19196-1.jpg,XOne
50450,Lego Worlds,3/7/17,boxart/original/front/50450-1.jpg,XOne
20109,Trials Fusion,4/15/14,boxart/original/front/20109-1.jpg,XOne
20130,Child of Light,4/30/14,boxart/original/front/20130-1.jpg,XOne
20211,Dragon Age: Inquisition,11/18/14,boxart/original/front/20211-1.jpg,XOne
20491,Watch Dogs,5/27/14,boxart/original/front/20491-1.jpg,XOne
20494,Wolfenstein: The New Order,5/20/14,boxart/original/front/20494-1.jpg,XOne
20601,Diablo III Reaper of Souls: Ultimate Evil Edition,8/19/14,boxart/original/front/20601-1.jpg,XOne
20646,Evolve,2/10/15,boxart/original/front/20646-1.jpg,XOne
20648,Thief,2/25/14,boxart/original/front/20648-1.jpg,XOne
20656,Strider,2/18/14,boxart/original/front/20656-1.jpg,XOne
20658,Plants vs. Zombies: Garden Warfare,2/25/14,boxart/original/front/20658-1.jpg,XOne
20742,Murdered: Soul Suspect,6/3/14,boxart/original/front/20742-1.jpg,XOne
20746,EA Sports UFC,6/17/14,boxart/original/front/20746-1.jpg,XOne
20753,Sniper Elite III,6/27/14,boxart/original/front/20753-1.jpg,XOne
20755,Forza Horizon 2,9/30/14,boxart/original/front/20755-1.png,XOne
20779,The Evil Within,10/21/14,boxart/original/front/20779-1.jpg,XOne
20846,Homefront: The Revolution,,boxart/original/front/20846-1.jpg,XOne
20951,Destiny,9/9/14,boxart/original/front/20951-1.jpg,XOne
20953,Grand Theft Auto V,11/18/14,boxart/original/front/20953-1.jpg,XOne
21022,Max: The Curse of Brotherhood,12/20/13,boxart/original/front/21022-1.png,XOne
21190,Alien: Isolation,10/7/14,boxart/original/front/21190-1.jpg,XOne
21287,Super Time Force,5/14/14,boxart/original/front/21287-1.png,XOne
21305,Outlast,6/24/14,boxart/original/front/21305-1.png,XOne
21334,Tom Clancy's: The Division,3/8/16,boxart/original/front/21334-1.jpg,XOne
21335,Halo 5: Guardians,10/27/15,boxart/original/front/21335-1.jpg,XOne
48615,Killer Instinct Definitive Edition,9/20/16,boxart/original/front/48615-1.jpg,XOne
21398,Halo: The Master Chief Collection,11/11/14,boxart/original/front/21398-1.jpg,XOne
21401,Middle-Earth: Shadow of Mordor,9/30/14,boxart/original/front/21401-1.jpg,XOne
