id,GameTitle,ReleaseDate,thumb,Platform
34739,Avatar: The Last Airbender,,boxart/original/front/34739-1.jpg,X
34740,Bad Boys: Miami Takedown,9/14/04,boxart/original/front/34740-1.jpg,X
34741,Barbie Horse Adventures: Wild Horse Rescue,11/4/03,boxart/original/front/34741-1.jpg,X
34742,Charlie and the Chocolate Factory,6/11/05,boxart/original/front/34742-1.jpg,X
34743,Chessmaster,10/26/04,boxart/original/front/34743-1.jpg,X
42016,Monster Garage,11/2/04,boxart/original/front/42016-1.jpg,X
15497,SSX 3,10/20/03,boxart/original/front/15497-1.jpg,X
7308,Star Wars Jedi Knight II: Jedi Outcast,11/19/02,boxart/original/front/7308-1.jpg,X
35212,Rayman 3: Hoodlum Havoc,,boxart/original/front/35212-1.jpg,X
6025,Colin McRae Rally 2005,10/28/04,boxart/original/front/6025-1.jpg,X
48052,Rocky Legends,9/28/04,boxart/original/front/48052-1.jpg,X
3368,Phantasy Star Online Episode I & II,4/15/03,boxart/original/front/3368-1.png,X
6214,Thrillville,11/15/06,boxart/original/front/6214-1.jpg,X
6215,Tiger Woods PGA Tour 07,10/10/06,boxart/original/front/6215-1.jpg,X
5915,James Bond 007: Agent Under Fire,3/26/02,boxart/original/front/5915-1.jpg,X
5916,James Bond 007: Everything or Nothing,2/17/04,boxart/original/front/5916-1.jpg,X
5917,From Russia with Love,11/1/05,boxart/original/front/5917-1.jpg,X
5918,007: NightFire,11/18/02,boxart/original/front/5918-1.jpg,X
5919,25 To Life,1/17/06,boxart/original/front/5919-1.jpg,X
24991,AFL Live 2003,11/20/02,boxart/original/front/24991-1.jpg,X
24992,AFL Live 2004,8/20/03,boxart/original/front/24992-1.jpg,X
24993,AFL Live Premiership Edition,8/23/04,boxart/original/front/24993-1.jpg,X
5920,50 Cent: Bulletproof,11/17/05,boxart/original/front/5920-1.jpg,X
5921,187 Ride or Die,8/23/05,boxart/original/front/5921-1.jpg,X
3996,Halo: Combat Evolved,11/15/01,boxart/original/front/3996-1.jpg,X
4195,Tom Clancy's Splinter Cell: Pandora Tomorrow,3/23/04,boxart/original/front/4195-1.jpg,X
4197,Ninja Gaiden,3/2/04,boxart/original/front/4197-1.jpg,X
4257,Area-51,4/25/05,boxart/original/front/4257-1.jpg,X
4259,Mortal Kombat: Armageddon,10/9/06,boxart/original/front/4259-1.jpg,X
4567,Far Cry Instincts,9/27/05,boxart/original/front/4567-1.jpg,X
5273,Need for Speed: Most Wanted,11/15/05,boxart/original/front/5273-1.jpg,X
5937,Advent Rising,5/31/05,boxart/original/front/5937-1.jpg,X
